freq,CFEAmp,fullAmp,expAmp,recAmp,shiftAvgAmp1,shiftAvgAmp9,shiftAvgAmp5,shiftAvgAmp3,shiftAvgAmp8
0.0500,0.4584,0.4592,1.1927,0.9989,1.1274,0.4710,0.4851,0.5157,0.4986
0.0792,0.6457,0.6493,1.2442,1.0143,1.1346,0.6327,0.6894,0.7387,0.7117
0.1256,0.8376,0.8364,1.4246,1.0483,1.1518,0.8691,0.9144,0.9428,0.9108
0.1991,1.0731,1.0737,1.6451,1.1225,1.1936,1.1488,1.1723,1.2062,1.1688
0.3155,1.3729,1.3725,1.8914,1.2755,1.2927,1.4573,1.5178,1.5324,1.4891
0.5000,1.7436,1.7430,2.1024,1.5537,1.5085,1.8629,1.9441,1.9320,1.8847
0.7924,2.2083,2.2074,2.3526,2.0090,1.9292,2.3643,2.4776,2.4227,2.3759
1.2559,2.7907,2.7890,2.7659,2.6642,2.6320,2.9863,3.1354,3.0249,2.9835
1.9905,3.5230,3.5188,3.4655,3.5693,3.5828,3.7496,3.9318,3.7595,3.7332
3.1548,4.4462,4.4344,4.4456,4.4909,4.5048,4.6733,4.8668,4.6499,4.6502
5.0000,5.6168,5.5812,5.5775,5.5402,5.5296,5.7719,5.9181,5.7232,5.7559
7.9245,7.1206,7.0092,7.0135,6.9890,6.9823,7.0579,7.0606,7.0094,7.0562
12.5594,9.1167,8.7593,8.7598,8.7378,8.7320,8.5735,8.3983,8.5565,8.5769
19.9054,12.0088,10.8137,10.8145,10.8032,10.7992,10.4683,10.2651,10.4787,10.4689
31.5479,17.4730,12.9327,12.9331,12.9279,12.9260,12.8269,12.8026,12.8333,12.8263
50.0000,36.4855,1.0383,1.0383,1.0392,1.0392,1.0593,1.0694,1.0589,1.0594
