inputFreq	CFEAmp	CFEPhase,fullAmp	fullPhase	expAmp	expPhase	recAmp	recPhase	shiftAvgAmp1	shiftAvgPhase1	shiftAvgAmp2	shiftAvgPhase2	shiftAvgAmp3	shiftAvgPhase3	shiftAvgAmp4	shiftAvgPhase4	shiftAvgAmp5	shiftAvgPhase5	shiftAvgAmp6	shiftAvgPhase6
0.0500	0.0128	0.1852	0	0	36.2291	179.9510	31.2658	0.0065	35.5045	0.0045	7.1351	0.1262	0.5232	46.7670	0.5231	46.7482	7.1351	0.1262	0.5232	46.7670
0.0792	0.0128	0.2934	0	0	36.2291	179.9224	31.2658	0.0103	35.5045	0.0071	7.1351	0.2000	0.7505	45.7911	0.7502	45.7700	7.1351	0.2000	0.7505	45.7911
0.1256	0.0128	0.4630	0	0	36.2291	179.8770	31.2658	0.0164	35.5045	0.0113	7.1352	0.3169	0.9612	44.8393	0.9608	44.8128	7.1352	0.3169	0.9612	44.8393
0.1991	0.0128	0.7352	0	0	36.2292	179.8051	31.2658	0.0260	35.5045	0.0179	7.1354	0.5023	1.2354	45.0052	1.2347	44.9728	7.1354	0.5023	1.2354	45.0052
0.3155	0.0128	1.1651	0	0	36.2293	179.6911	31.2658	0.0412	35.5045	0.0284	7.1360	0.7960	1.5782	44.9975	1.5771	44.9573	7.1360	0.7960	1.5782	44.9975
0.5000	0.0128	1.8492	0	0	36.2295	179.5105	31.2658	0.0653	35.5045	0.0450	7.1374	1.2613	2.0045	44.9708	2.0027	44.9209	7.1374	1.2613	2.0045	44.9708
0.7924	0.0128	2.9254	0	0	36.2302	179.2242	31.2659	0.1035	35.5046	0.0713	7.1408	1.9983	2.5369	44.9391	2.5341	44.8770	7.1408	1.9983	2.5369	44.9391
1.2559	0.0128	4.6231	0	0	36.2317	178.7705	31.2661	0.1640	35.5046	0.1130	7.1495	3.1641	3.2046	44.9081	3.2002	44.8308	7.1495	3.1641	3.2046	44.9081
1.9905	0.0129	7.2854	0	0	36.2357	178.0515	31.2664	0.2599	35.5048	0.1791	7.1712	5.0026	4.0422	44.8761	4.0351	44.7799	7.1712	5.0026	4.0422	44.8761
3.1548	0.0131	11.3833	0	0	36.2456	176.9124	31.2674	0.4118	35.5051	0.2839	7.2254	7.8809	5.0928	44.8383	5.0816	44.7188	7.2254	7.8809	5.0928	44.8383
5.0000	0.0137	17.4348	0	0	36.2705	175.1090	31.2697	0.6525	35.5060	0.4500	7.3596	12.3067	6.4128	44.7897	6.3950	44.6416	7.3596	12.3067	6.4128	44.7897
7.9245	0.0149	25.5873	0	0	36.3329	172.2582	31.2754	1.0336	35.5083	0.7131	7.6850	18.8283	8.0704	44.7340	8.0423	44.5512	7.6850	18.8283	8.0704	44.7340
12.5594	0.0175	34.7572	0	0	36.4884	167.7688	31.2895	1.6364	35.5139	1.1301	8.4398	27.5786	10.1513	44.6628	10.1069	44.4383	8.4398	27.5786	10.1513	44.6628
19.9054	0.0223	42.3454	0	0	36.8712	160.7657	31.3243	2.5878	35.5281	1.7905	10.0516	37.3718	12.7635	44.5728	12.6933	44.2989	10.0516	37.3718	12.7635	44.5728
31.5479	0.0298	46.0744	0	0	37.7867	150.0839	31.4092	4.0823	35.5638	2.8355	13.0881	45.4345	16.0401	44.4604	15.9294	44.1292	13.0881	45.4345	16.0401	44.4604
50.0000	0.0393	46.2194	0	0	39.8366	134.5804	31.6142	6.4070	35.6531	4.4848	17.9588	49.1180	20.1464	44.3177	19.9722	43.9219	17.9588	49.1180	20.1464	44.3177
79.2447	0.0501	45.2486	0	0	43.8392	114.1269	32.0999	9.9500	35.8764	7.0720	24.2738	48.1298	25.2877	44.1365	25.0141	43.6710	24.2738	48.1298	25.2877	44.1365
125.5943	0.0629	44.9308	0	0	50.0046	90.8793	33.2158	15.1253	36.4307	11.0693	30.7518	46.0263	31.7152	43.9066	31.2873	43.3710	30.7518	46.0263	31.7152	43.9066
199.0536	0.0790	44.9997	0	0	56.9171	69.0204	35.6572	22.0940	37.7828	17.0246	38.6625	46.2525	39.7362	43.6135	39.0711	43.0164	38.6625	46.2525	39.7362	43.6135
