inputFreq,CFEAmp,CFEPhase,fullAmp,fullPhase,expAmp,expPhase,recAmp,recPhase,shiftAvgAmp1,shiftAvgPhase1,shiftAvgAmp9,shiftAvgPhase9,shiftAvgAmp5,shiftAvgPhase5,shiftAvgAmp3,shiftAvgPhase3,shiftAvgAmp8,shiftAvgPhase8
0.0500,0.5533,-1.8043,0,0,0.1684,-0.1533,2.3877,-24.9454,0.0573,-0.0150,0.2037,-0.2052,0.2823,-0.3951,2.3525,-25.1664,2.3742,-25.1225
0.0792,0.5526,-2.8484,0,0,0.1684,-0.2429,1.6628,-40.4609,0.0573,-0.0238,0.2037,-0.3252,0.2822,-0.6260,1.6286,-41.7630,1.6446,-41.3720
0.1256,0.5510,-4.5128,0,0,0.1684,-0.3850,1.1569,-37.0803,0.0573,-0.0377,0.2036,-0.5154,0.2822,-0.9924,1.1001,-36.7164,1.1231,-36.7226
0.1991,0.5474,-7.1093,0,0,0.1684,-0.6102,0.9005,-41.5754,0.0573,-0.0597,0.2036,-0.8169,0.2822,-1.5728,0.8714,-42.1163,0.8843,-41.9710
0.3155,0.5384,-11.1267,0,0,0.1684,-0.9671,0.7167,-42.6077,0.0573,-0.0946,0.2036,-1.2948,0.2820,-2.4927,0.6852,-42.0393,0.6968,-42.1595
0.5000,0.5178,-17.0489,0,0,0.1683,-1.5324,0.5705,-43.1394,0.0573,-0.1500,0.2035,-2.0518,0.2817,-3.9488,0.5429,-43.5987,0.5522,-43.5559
0.7924,0.4753,-25.0775,0,0,0.1682,-2.4272,0.4335,-43.2165,0.0573,-0.2377,0.2034,-3.2510,0.2808,-6.2524,0.4311,-44.1369,0.4378,-44.0971
1.2559,0.4049,-34.2022,0,0,0.1679,-3.8415,0.3625,-44.7599,0.0573,-0.3767,0.2029,-5.1495,0.2785,-9.8867,0.3420,-44.1985,0.3475,-44.2356
1.9905,0.3176,-41.8685,0,0,0.1672,-6.0667,0.2894,-43.8392,0.0573,-0.5971,0.2018,-8.1485,0.2730,-15.5760,0.2704,-44.5930,0.2748,-44.5853
3.1548,0.2379,-45.7382,0,0,0.1653,-9.5306,0.2142,-42.8379,0.0573,-0.9463,0.1991,-12.8638,0.2595,-24.3098,0.2147,-44.6636,0.2181,-44.6656
5.0000,0.1801,-46.0136,0,0,0.1610,-14.7841,0.1858,-44.7764,0.0572,-1.4997,0.1924,-20.1826,0.2288,-36.9546,0.1702,-44.7457,0.1730,-44.7705
7.9245,0.1412,-45.1285,0,0,0.1515,-22.2874,0.1487,-42.7569,0.0572,-2.3766,0.1767,-31.1429,0.1692,-51.5686,0.1352,-44.7617,0.1373,-44.7876
12.5594,0.1126,-44.8565,0,0,0.1337,-31.7369,0.1042,-44.1877,0.0572,-3.7659,0.1431,-45.7085,0.1011,-51.3449,0.1074,-44.7350,0.1091,-44.7789
19.9054,0.0895,-44.9540,0,0,0.1079,-41.2148,0.0927,-43.8278,0.0570,-5.9652,0.0904,-55.4485,0.0893,-42.8425,0.0853,-44.6471,0.0866,-44.7209
31.5479,0.0710,-44.9776,0,0,0.0804,-47.7404,0.0727,-40.2451,0.0566,-9.4412,0.0655,-42.0545,0.0694,-45.7591,0.0677,-44.4915,0.0688,-44.6007
50.0000,0.0564,-44.9820,0,0,0.0581,-49.4552,0.0545,-46.6449,0.0556,-14.9107,0.0563,-45.7728,0.0551,-45.3923,0.0538,-44.2334,0.0546,-44.3986
79.2447,0.0448,-44.9880,0,0,0.0433,-47.0291,0.0453,-40.6519,0.0532,-23.4151,0.0439,-44.6965,0.0434,-45.1478,0.0428,-43.8239,0.0434,-44.0683
125.5943,0.0356,-44.9924,0,0,0.0344,-43.4739,0.0327,-43.4430,0.0474,-36.1679,0.0347,-44.2542,0.0342,-44.6258,0.0340,-43.1965,0.0345,-43.5442
199.0536,0.0283,-44.9951,0,0,0.0283,-42.0415,0.0293,-42.1949,0.0351,-52.5737,0.0275,-43.3583,0.0270,-43.6385,0.0271,-42.2445,0.0274,-42.7197
315.4787,0.0224,-44.9968,0,0,0.0227,-42.5077,0.0239,-44.4867,0.0178,-50.4338,0.0218,-41.8871,0.0213,-41.9300,0.0217,-40.8300,0.0218,-41.4315
500.0000,0.0178,-44.9979,0,0,0.0178,-40.3232,0.0169,-40.7606,0.0209,-34.9591,0.0173,-39.6038,0.0169,-39.1914,0.0174,-38.7754,0.0174,-39.4402
792.4466,0.0140,-44.9986,0,0,0.0142,-38.0154,0.0140,-36.4662,0.0132,-29.5986,0.0140,-36.2718,0.0137,-35.1760,0.0141,-35.8649,0.0140,-36.3645
1255.9432,0.0110,-44.9990,0,0,0.0114,-33.6810,0.0107,-32.1607,0.0123,-28.4036,0.0114,-31.7501,0.0114,-30.1968,0.0115,-31.8431,0.0114,-31.8470
1990.5359,0.0083,-44.9993,0,0,0.0092,-27.1164,0.0090,-27.5520,0.0093,-21.2176,0.0095,-26.0517,0.0097,-25.2569,0.0095,-26.3192,0.0095,-26.0372
3154.7867,0.0057,-44.9995,0,0,0.0077,-16.6316,0.0073,-13.5282,0.0077,-11.6908,0.0079,-17.9429,0.0080,-18.9414,0.0079,-17.8998,0.0079,-17.9346
5000.0000,0.0000,0.0000,0,0,0.0011,-0.0000,0.0010,0.0000,0.0010,0.0000,0.0011,-0.0000,0.0010,-0.0000,0.0011,-0.0000,0.0011,-0.0000
