freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.0500,45.0177,45.6368,141.3532,6.2430,4.4402,39.0956,46.5184,45.9446,46.0197
0.0792,45.0976,45.0216,119.9471,9.7027,6.9946,45.0079,47.1469,44.8502,45.0540
0.1256,44.8476,44.6564,95.6643,14.8258,10.9579,47.4547,46.3939,43.6848,44.1617
0.1991,44.9538,44.7314,72.0812,21.7577,16.8666,45.8914,46.2080,43.5690,44.1464
0.3155,45.0075,44.6885,53.9401,29.9362,24.9926,45.0227,45.8242,43.2152,43.9280
0.5000,44.9693,44.5022,43.6457,37.7120,34.4830,44.7912,45.1391,42.7337,43.5323
0.7924,44.9650,44.2375,40.4584,43.2879,42.7746,44.0407,44.1338,42.1031,43.0066
1.2559,44.9719,43.8282,41.6050,45.8647,46.8267,43.0458,42.7141,41.3064,42.2780
1.9905,44.9686,43.1636,43.1954,44.9005,45.3506,41.6848,40.7739,40.2789,41.2321
3.1548,44.9685,42.1168,42.3987,41.4664,41.1778,39.9028,38.2989,38.9401,39.7603
5.0000,44.9670,40.4555,40.3530,40.7443,40.8939,37.6433,35.4137,37.1916,37.6997
7.9245,44.9639,37.8236,37.8123,37.5976,37.5462,34.8829,32.5958,34.8813,34.9548
12.5594,44.9592,33.6532,33.6412,33.6644,33.6930,31.5473,30.2872,31.7134,31.5591
19.9054,44.9514,27.0460,27.0450,26.9891,26.9858,26.8560,27.0387,26.9265,26.8491
31.5479,44.9262,16.5798,16.5806,16.5315,16.5310,17.8715,18.5733,17.8434,17.8718
50.0000,180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000
