time,input,GL,EXP20
0,0,0,0
0.05,0,0,0
0.1,0,0,0
0.15,0,0,0
0.2,0,0,0
0.25,0,0,0
0.3,0,0,0
0.35,0,0,0
0.4,0,0,0
0.45,0,0,0
0.5,0,0,0
0.55,0,0,0
0.6,0,0,0
0.65,0,0,0
0.7,0,0,0
0.75,0,0,0
0.8,0,0,0
0.85,0,0,0
0.9,0,0,0
0.95,0,0,0
1,0,0,0
1.05,0,0,0
1.1,0,0,0
1.15,0,0,0
1.2,0,0,0
1.25,0,0,0
1.3,0,0,0
1.35,0,0,0
1.4,0,0,0
1.45,0,0,0
1.5,0,0,0
1.55,0,0,0
1.6,0,0,0
1.65,0,0,0
1.7,0,0,0
1.75,0,0,0
1.8,0,0,0
1.85,0,0,0
1.9,0,0,0
1.95,0,0,0
2,0,0,0
2.05,0,0,0
2.1,0,0,0
2.15,0,0,0
2.2,0,0,0
2.25,0,0,0
2.3,0,0,0
2.35,0,0,0
2.4,0,0,0
2.45,0,0,0
2.5,0,0,0
2.55,0,0,0
2.6,0,0,0
2.65,0,0,0
2.7,0,0,0
2.75,0,0,0
2.8,0,0,0
2.85,0,0,0
2.9,0,0,0
2.95,0,0,0
3,0,0,0
3.05,0,0,0
3.1,0,0,0
3.15,0,0,0
3.2,0,0,0
3.25,0,0,0
3.3,0,0,0
3.35,0,0,0
3.4,0,0,0
3.45,0,0,0
3.5,0,0,0
3.55,0,0,0
3.6,0,0,0
3.65,0,0,0
3.7,0,0,0
3.75,0,0,0
3.8,0,0,0
3.85,0,0,0
3.9,0,0,0
3.95,0,0,0
4,0,0,0
4.05,0,0,0
4.1,0,0,0
4.15,0,0,0
4.2,0,0,0
4.25,0,0,0
4.3,0,0,0
4.35,0,0,0
4.4,0,0,0
4.45,0,0,0
4.5,0,0,0
4.55,0,0,0
4.6,0,0,0
4.65,0,0,0
4.7,0,0,0
4.75,0,0,0
4.8,0,0,0
4.85,0,0,0
4.9,0,0,0
4.95,0,0,0
5,0,0,0
5.05,0,0,0
5.1,0,0,0
5.15,0,0,0
5.2,0,0,0
5.25,0,0,0
5.3,0,0,0
5.35,0,0,0
5.4,0,0,0
5.45,0,0,0
5.5,0,0,0
5.55,0,0,0
5.6,0,0,0
5.65,0,0,0
5.7,0,0,0
5.75,0,0,0
5.8,0,0,0
5.85,0,0,0
5.9,0,0,0
5.95,0,0,0
6,0,0,0
6.05,0,0,0
6.1,0,0,0
6.15,0,0,0
6.2,0,0,0
6.25,0,0,0
6.3,0,0,0
6.35,0,0,0
6.4,0,0,0
6.45,0,0,0
6.5,0,0,0
6.55,0,0,0
6.6,0,0,0
6.65,0,0,0
6.7,0,0,0
6.75,0,0,0
6.8,0,0,0
6.85,0,0,0
6.9,0,0,0
6.95,0,0,0
7,0,0,0
7.05,0,0,0
7.1,0,0,0
7.15,0,0,0
7.2,0,0,0
7.25,0,0,0
7.3,0,0,0
7.35,0,0,0
7.4,0,0,0
7.45,0,0,0
7.5,0,0,0
7.55,0,0,0
7.6,0,0,0
7.65,0,0,0
7.7,0,0,0
7.75,0,0,0
7.8,0,0,0
7.85,0,0,0
7.9,0,0,0
7.95,0,0,0
8,0,0,0
8.05,0,0,0
8.1,0,0,0
8.15,0,0,0
8.2,0,0,0
8.25,0,0,0
8.3,0,0,0
8.35,0,0,0
8.4,0,0,0
8.45,0,0,0
8.5,0,0,0
8.55,0,0,0
8.6,0,0,0
8.65,0,0,0
8.7,0,0,0
8.75,0,0,0
8.8,0,0,0
8.85,0,0,0
8.9,0,0,0
8.95,0,0,0
9,0,0,0
9.05,0,0,0
9.1,0,0,0
9.15,0,0,0
9.2,0,0,0
9.25,0,0,0
9.3,0,0,0
9.35,0,0,0
9.4,0,0,0
9.45,0,0,0
9.5,0,0,0
9.55,0,0,0
9.6,0,0,0
9.65,0,0,0
9.7,0,0,0
9.75,0,0,0
9.8,0,0,0
9.85,0,0,0
9.9,0,0,0
9.95,0,0,0
10,0,0,0
10.05,0,0,0
10.1,0,0,0
10.15,0,0,0
10.2,0,0,0
10.25,0,0,0
10.3,0,0,0
10.35,0,0,0
10.4,0,0,0
10.45,0,0,0
10.5,1,0.817256,0.817256
10.55,1,0.833954,0.833954
10.6,1,0.83924,0.843908
10.65,1,0.844157,0.851674
10.7,1,0.848331,0.857999
10.75,1,0.851913,0.863332
10.8,1,0.855054,0.867944
10.85,1,0.857855,0.872005
10.9,1,0.860386,0.87563
10.95,1,0.862692,0.878902
11,1,0.864807,0.88188
11.05,1,0.866759,0.88461
11.1,1,0.868567,0.887128
11.15,1,0.870251,0.889462
11.2,1,0.871825,0.891636
11.25,1,0.873301,0.89367
11.3,1,0.87469,0.895578
11.35,1,0.876001,0.897374
11.4,1,0.877242,0.899069
11.45,1,0.878418,0.900674
11.5,1,0.879537,0.902196
11.55,1,0.880602,0.903644
11.6,1,0.881618,0.905023
11.65,1,0.882588,0.906338
11.7,1,0.883518,0.907596
11.75,1,0.884408,0.908799
11.8,1,0.885263,0.909953
11.85,1,0.886084,0.911061
11.9,1,0.886874,0.912126
11.95,1,0.887635,0.91315
12,1,0.888369,0.914137
12.05,1,0.889077,0.915089
12.1,1,0.889762,0.916007
12.15,1,0.890423,0.916895
12.2,1,0.891064,0.917753
12.25,1,0.891684,0.918583
12.3,1,0.892286,0.919388
12.35,1,0.89287,0.920168
12.4,1,0.893437,0.920924
12.45,1,0.893988,0.921658
12.5,1,0.894523,0.922371
12.55,1,0.895045,0.923064
12.6,1,0.895553,0.923738
12.65,1,0.896048,0.924394
12.7,1,0.896531,0.925032
12.75,1,0.897002,0.925654
12.8,1,0.897452,0.926259
12.85,1,0.897891,0.926848
12.9,1,0.89832,0.927423
12.95,1,0.898738,0.927985
13,1,0.899147,0.928532
13.05,1,0.899546,0.929067
13.1,1,0.899937,0.92959
13.15,1,0.900319,0.930101
13.2,1,0.900692,0.9306
13.25,1,0.901058,0.931089
