freq,CFEAmp,fullAmp,expAmp,recAmp,shiftAvgAmp1,shiftAvgAmp9,shiftAvgAmp5,shiftAvgAmp3,shiftAvgAmp8
0.0500,1.7850,0,11.4568,9.8871,11.2275,3.1286,2.2570,0.5225,0.5018
0.0792,1.7872,0,11.4569,9.8871,11.2275,3.1290,2.2581,0.7502,0.7168
0.1256,1.7920,0,11.4574,9.8872,11.2275,3.1300,2.2609,0.9593,0.9184
0.1991,1.8048,0,11.4587,9.8873,11.2276,3.1325,2.2677,1.2342,1.1811
0.3155,1.8360,0,11.4618,9.8876,11.2277,3.1387,2.2848,1.5745,1.5085
0.5000,1.9116,0,11.4697,9.8883,11.2280,3.1543,2.3270,1.9990,1.9153
0.7924,2.0868,0,11.4892,9.8901,11.2287,3.1930,2.4296,2.5294,2.4244
1.2559,2.4580,0,11.5381,9.8946,11.2305,3.2879,2.6675,3.1915,3.0617
1.9905,3.1436,0,11.6583,9.9056,11.2350,3.5137,3.1757,4.0216,3.8609
3.1548,4.2047,0,11.9460,9.9324,11.2462,4.0170,4.1337,5.0608,4.8636
5.0000,5.5610,0,12.5907,9.9972,11.2745,5.0256,5.6716,6.3615,6.1221
7.9245,7.0927,0,13.8511,10.1507,11.3451,6.7714,7.6678,7.9893,7.7015
12.5594,8.8911,0,15.7971,10.5035,11.5203,9.2738,9.7187,10.0234,9.6826
19.9054,11.1764,0,17.9846,11.2753,11.9479,12.0535,12.2216,12.5610,12.1660
31.5479,14.0754,0,19.8590,12.8326,12.9519,14.9366,15.5832,15.7201,15.2759
50.0000,17.7223,0,21.5220,15.6521,15.1424,18.9512,19.7865,19.6415,19.1642
79.2447,22.3139,0,23.7706,20.2417,19.3969,23.9059,25.0614,24.4909,24.0151
125.5943,28.0969,0,27.8157,26.8065,26.4834,30.0812,31.5920,30.4603,30.0465
199.0536,35.3866,0,34.8016,35.8901,36.0292,37.6765,39.5137,37.7652,37.5053
315.4787,44.5938,0,44.6018,45.0620,45.2023,46.8824,48.8267,46.6413,46.6471
500.0000,56.2811,0,55.8944,55.5132,55.4058,57.8410,59.3040,57.3468,57.6792
792.4466,71.3052,0,70.2410,69.9875,69.9195,70.6772,70.6960,70.1891,70.6604
1255.9432,91.2573,0,87.6859,87.4609,87.4009,85.8108,84.0476,85.6419,85.8449
1990.5359,120.1666,0,108.2089,108.0925,108.0515,104.7388,102.7006,104.8420,104.7445
3154.7867,174.7768,0,129.3581,129.3053,129.2850,128.2951,128.0544,128.3591,128.2897
5000.0000,1696.9639,0,21.6807,21.6982,21.6982,22.1202,22.3305,22.1103,22.1207
