inputFreq,CFEAmp,CFEPhase,fullAmp,fullPhase,expAmp,expPhase,recAmp,recPhase,shiftAvgAmp1,shiftAvgPhase1,shiftAvgAmp9,shiftAvgPhase9,shiftAvgAmp5,shiftAvgPhase5,shiftAvgAmp3,shiftAvgPhase3,shiftAvgAmp8,shiftAvgPhase8
0.0500,0.6650,-0.8882,0,0,0.4045,-0.1260,0.4964,-4.7114,0.1861,-0.0104,0.3988,-0.1426,0.4851,-0.2748,1.6773,-17.2378,1.6908,-17.1780
0.0792,0.6647,-1.4038,0,0,0.4045,-0.1997,0.4711,-6.2602,0.1861,-0.0165,0.3988,-0.2259,0.4851,-0.4353,1.3119,-25.7637,1.3250,-25.4464
0.1256,0.6640,-2.2261,0,0,0.4045,-0.3165,0.4521,-6.6930,0.1861,-0.0261,0.3988,-0.3581,0.4851,-0.6901,1.0686,-22.8338,1.0853,-22.8660
0.1991,0.6624,-3.5172,0,0,0.4045,-0.5017,0.4339,-7.5142,0.1861,-0.0413,0.3988,-0.5676,0.4850,-1.0936,0.9189,-25.2689,0.9308,-25.1688
0.3155,0.6583,-5.5341,0,0,0.4045,-0.7951,0.4147,-8.3966,0.1861,-0.0655,0.3988,-0.8996,0.4848,-1.7331,0.7955,-25.4770,0.8059,-25.5371
0.5000,0.6482,-8.5980,0,0,0.4044,-1.2597,0.3968,-9.3854,0.1861,-0.1038,0.3987,-1.4254,0.4843,-2.7447,0.6883,-26.1923,0.6979,-26.1827
0.7924,0.6255,-13.0160,0,0,0.4041,-1.9951,0.3777,-10.0287,0.1861,-0.1646,0.3984,-2.2581,0.4830,-4.3430,0.5979,-26.5151,0.6058,-26.4909
1.2559,0.5804,-18.6242,0,0,0.4034,-3.1568,0.3563,-11.3475,0.1861,-0.2608,0.3976,-3.5751,0.4797,-6.8558,0.5199,-26.6131,0.5267,-26.6337
1.9905,0.5091,-24.0988,0,0,0.4018,-4.9821,0.3374,-12.6207,0.1861,-0.4133,0.3958,-5.6508,0.4717,-10.7544,0.4515,-26.7674,0.4575,-26.7718
3.1548,0.4274,-27.3294,0,0,0.3977,-7.8140,0.3162,-13.2946,0.1861,-0.6551,0.3913,-8.8948,0.4523,-16.6002,0.3929,-26.8235,0.3981,-26.8307
5.0000,0.3587,-27.7414,0,0,0.3880,-12.0728,0.2929,-15.2249,0.1860,-1.0382,0.3803,-13.8523,0.4091,-24.5150,0.3419,-26.8447,0.3464,-26.8697
7.9245,0.3090,-27.1107,0,0,0.3670,-18.0268,0.2729,-16.8000,0.1860,-1.6451,0.3547,-20.9676,0.3300,-31.7328,0.2977,-26.8445,0.3016,-26.8766
12.5594,0.2698,-26.9143,0,0,0.3280,-25.1256,0.2488,-17.4938,0.1858,-2.6061,0.3021,-29.2410,0.2534,-29.0478,0.2592,-26.8121,0.2626,-26.8611
19.9054,0.2351,-26.9867,0,0,0.2725,-31.2558,0.2255,-20.0947,0.1853,-4.1256,0.2288,-31.7530,0.2338,-26.5776,0.2258,-26.7383,0.2287,-26.8155
31.5479,0.2046,-26.9936,0,0,0.2157,-33.6657,0.2055,-21.4801,0.1842,-6.5195,0.1981,-25.6326,0.2005,-27.5634,0.1967,-26.6192,0.1992,-26.7316
50.0000,0.1782,-26.9908,0,0,0.1731,-31.7171,0.1788,-22.2201,0.1815,-10.2559,0.1761,-27.4861,0.1741,-27.4389,0.1714,-26.4296,0.1735,-26.5928
79.2447,0.1552,-26.9937,0,0,0.1472,-27.8423,0.1607,-24.7477,0.1748,-15.9417,0.1524,-26.9200,0.1508,-27.2535,0.1494,-26.1393,0.1511,-26.3711
125.5943,0.1351,-26.9961,0,0,0.1317,-25.1892,0.1392,-24.2944,0.1591,-23.9512,0.1322,-26.5746,0.1305,-26.8532,0.1304,-25.7072,0.1317,-26.0234
199.0536,0.1177,-26.9975,0,0,0.1187,-25.0485,0.1214,-28.3923,0.1276,-32.0767,0.1148,-25.9470,0.1130,-26.1101,0.1139,-25.0734,0.1148,-25.4831
315.4787,0.1024,-26.9983,0,0,0.1031,-25.6946,0.1012,-26.7347,0.0922,-26.7693,0.0999,-24.9470,0.0981,-24.8688,0.0997,-24.1638,0.1002,-24.6505
500.0000,0.0891,-26.9988,0,0,0.0892,-24.1152,0.0898,-23.2997,0.0959,-22.8948,0.0874,-23.4572,0.0858,-22.9790,0.0877,-22.8918,0.0877,-23.3828
792.4466,0.0773,-26.9992,0,0,0.0779,-22.7954,0.0773,-21.5735,0.0768,-19.6059,0.0769,-21.3908,0.0760,-20.4151,0.0774,-21.1586,0.0771,-21.4670
1255.9432,0.0667,-26.9994,0,0,0.0682,-20.1956,0.0679,-19.2929,0.0705,-18.7690,0.0685,-18.7497,0.0686,-17.6039,0.0688,-18.8459,0.0684,-18.8023
1990.5359,0.0565,-26.9995,0,0,0.0602,-16.2639,0.0599,-15.7371,0.0605,-14.5196,0.0614,-15.5981,0.0624,-15.1619,0.0614,-15.7589,0.0614,-15.5872
3154.7867,0.0451,-26.9996,0,0,0.0541,-9.9758,0.0536,-8.9661,0.0542,-8.5966,0.0548,-10.9470,0.0552,-11.6533,0.0547,-10.9136,0.0548,-10.9438
5000.0000,0.0006,0.0000,0,0,0.0079,-0.0000,0.0077,-0.0000,0.0077,-0.0000,0.0077,-0.0000,0.0076,-0.0000,0.0077,-0.0000,0.0077,-0.0000
