inputFreq,CFEAmp,CFEPhase,fullAmp,fullPhase,expAmp,expPhase,recAmp,recPhase,shiftAvgAmp1,shiftAvgPhase1,shiftAvgAmp9,shiftAvgPhase9,shiftAvgAmp5,shiftAvgPhase5,shiftAvgAmp3,shiftAvgPhase3,shiftAvgAmp8,shiftAvgPhase8
0.0500,1.5059,0.8932,0,0,0.9373,178.5712,4.0971,0.0393,4.6292,0.0193,2.1528,0.2707,1.7697,0.5268,0.6359,26.0157,0.6237,25.7981
0.0792,1.5066,1.4168,0,0,0.9376,177.7363,4.0971,0.0622,4.6292,0.0306,2.1529,0.4290,1.7700,0.8346,0.8192,27.2408,0.7997,27.0083
0.1256,1.5081,2.2424,0,0,0.9385,176.4138,4.0971,0.0986,4.6292,0.0484,2.1531,0.6799,1.7705,1.3226,0.9547,26.1051,0.9325,26.1295
0.1991,1.5119,3.5426,0,0,0.9406,174.3238,4.0972,0.1561,4.6292,0.0768,2.1535,1.0773,1.7719,2.0946,1.1161,26.5857,1.0899,26.5528
0.3155,1.5214,5.5711,0,0,0.9458,171.0333,4.0974,0.2470,4.6292,0.1217,2.1547,1.7065,1.7754,3.3128,1.2941,26.7367,1.2647,26.7450
0.5000,1.5448,8.6578,0,0,0.9589,165.9068,4.0977,0.3903,4.6293,0.1928,2.1575,2.7006,1.7841,5.2222,1.4972,26.7918,1.4626,26.8224
0.7924,1.6006,13.1007,0,0,0.9910,158.1045,4.0986,0.6159,4.6293,0.3056,2.1647,4.2647,1.8058,8.1676,1.7269,26.8460,1.6871,26.8735
1.2559,1.7247,18.7273,0,0,1.0668,146.8338,4.1005,0.9696,4.6295,0.4843,2.1824,6.6988,1.8586,12.5363,1.9875,26.8519,1.9424,26.9019
1.9905,1.9654,24.2034,0,0,1.2350,132.0660,4.1047,1.5210,4.6300,0.7675,2.2261,10.3858,1.9815,18.4444,2.2859,26.8322,2.2342,26.9039
3.1548,2.3403,27.4086,0,0,1.5708,115.1623,4.1139,2.3718,4.6313,1.2161,2.3303,15.6229,2.2429,24.9689,2.6264,26.8023,2.5678,26.8944
5.0000,2.7876,27.7895,0,0,2.1584,97.9094,4.1337,3.6653,4.6345,1.9260,2.5624,22.0515,2.7120,29.5736,3.0157,26.7435,2.9498,26.8685
7.9245,3.2352,27.1433,0,0,3.0427,80.9112,4.1750,5.5860,4.6424,3.0467,3.0160,27.8026,3.3425,29.8365,3.4612,26.6600,3.3874,26.8252
12.5594,3.7059,26.9404,0,0,4.1399,64.0883,4.2587,8.3165,4.6624,4.8063,3.7189,29.9645,3.8933,27.6550,3.9704,26.5449,3.8886,26.7587
19.9054,4.2538,27.0073,0,0,5.1897,48.3921,4.4227,11.9671,4.7119,7.5298,4.4590,28.0304,4.4286,27.8917,4.5518,26.3849,4.4628,26.6602
31.5479,4.8873,27.0073,0,0,5.9512,35.8614,4.7202,16.4068,4.8329,11.6016,5.0355,26.9567,5.1405,27.7745,5.2148,26.1685,5.1201,26.5163
50.0000,5.6120,26.9987,0,0,6.4354,27.8799,5.2209,20.9629,5.1183,17.2090,5.8166,27.1751,5.9430,27.4935,5.9689,25.8779,5.8719,26.3069
79.2447,6.4437,26.9984,0,0,6.8370,24.4359,6.0073,24.9610,5.7396,23.6232,6.6974,26.7278,6.8679,26.9837,6.8238,25.4887,6.7302,26.0023
125.5943,7.3993,26.9990,0,0,7.4060,24.4610,7.0508,27.3800,6.9038,28.4067,7.7040,26.1406,7.9205,26.1757,7.7886,24.9719,7.7074,25.5595
199.0536,8.4977,26.9993,0,0,8.3798,25.7496,8.5507,27.8004,8.5701,28.4773,8.8383,25.2954,9.0966,24.9922,8.8706,24.2911,8.8150,24.9166
315.4787,9.7625,26.9995,0,0,9.7593,25.5967,9.9052,24.8776,9.9698,24.5047,10.0977,24.1409,10.3722,23.3839,10.0745,23.4006,10.0599,23.9893
500.0000,11.2258,26.9996,0,0,11.1819,24.1843,11.0771,24.4623,11.0297,24.6674,11.4677,22.6429,11.6929,21.3919,11.4022,22.2449,11.4386,22.6676
792.4466,12.9381,26.9996,0,0,12.8266,22.7176,12.7874,22.3879,12.7719,22.2726,12.9264,20.8046,12.9879,19.3039,12.8546,20.7513,12.9207,20.8680
1255.9432,15.0024,26.9996,0,0,14.6486,20.2038,14.5992,20.1753,14.5760,20.2161,14.4744,18.6639,14.3058,17.6267,14.4436,18.7914,14.4795,18.6794
1990.5359,17.6958,26.9996,0,0,16.6182,16.2505,16.5984,16.1482,16.5855,16.1301,16.2329,15.9646,15.9846,15.9612,16.2448,16.0386,16.2342,15.9578
3154.7867,22.1560,26.9995,0,0,18.4963,9.9654,18.4885,9.8763,18.4818,9.8722,18.3557,10.9325,18.3061,11.5084,18.3660,10.9070,18.3548,10.9325
5000.0000,38.8227,-0.0000,0,0,2.9913,-0.0000,2.9956,-0.0000,2.9956,-0.0000,3.0393,-0.0000,3.0645,-0.0000,3.0378,-0.0000,3.0394,-0.0000
