inputFreq	CFEAmp	CFEPhase,fullAmp	fullPhase	expAmp	expPhase	recAmp	recPhase	shiftAvgAmp1	shiftAvgPhase1	shiftAvgAmp2	shiftAvgPhase2	shiftAvgAmp3	shiftAvgPhase3	shiftAvgAmp4	shiftAvgPhase4	shiftAvgAmp5	shiftAvgPhase5	shiftAvgAmp6	shiftAvgPhase6
0.0500	0.0136	16.7910	0.4596	45.7266	3.6267	175.1996	3.1270	0.6504	3.5506	0.4495	0.7350	12.0382	0.5214	46.6202	0.5197	46.4462	0.7350	12.0382	0.5214	46.6202
0.0792	0.0148	24.5875	0.6497	45.1300	3.6307	172.4089	3.1276	1.0301	3.5508	0.7124	0.7672	18.3838	0.7478	45.4702	0.7450	45.2781	0.7672	18.3838	0.7478	45.4702
0.1256	0.0172	33.7993	0.8369	44.8009	3.6451	167.9880	3.1290	1.6313	3.5514	1.1290	0.8400	27.0425	0.9549	44.5362	0.9505	44.2991	0.8400	27.0425	0.9549	44.5362
0.1991	0.0218	41.6634	1.0745	44.9328	3.6824	161.1074	3.1324	2.5802	3.5528	1.7887	0.9951	36.8437	1.2273	44.5639	1.2204	44.2807	0.9951	36.8437	1.2273	44.5639
0.3155	0.0291	45.7533	1.3734	44.9830	3.7674	150.5568	3.1408	4.0713	3.5564	2.8327	1.2918	45.0198	1.5651	44.5233	1.5542	44.1859	1.2918	45.0198	1.5651	44.5233
0.5000	0.0387	46.1295	1.7442	44.9467	3.9603	135.2181	3.1612	6.3908	3.5653	4.4804	1.7698	48.8948	1.9823	44.3427	1.9650	43.9422	1.7698	48.8948	1.9823	44.3427
0.7924	0.0496	45.2471	2.2090	44.9191	4.3417	114.7888	3.2095	9.9273	3.5876	7.0650	2.3988	48.0923	2.5035	44.1395	2.4763	43.6708	2.3988	48.0923	2.5035	44.1395
1.2559	0.0625	44.9344	2.7912	44.8848	4.9460	91.3893	3.3207	15.0966	3.6429	11.0587	3.0547	46.0611	3.1514	43.9184	3.1088	43.3809	3.0547	46.0611	3.1514	43.9184
1.9905	0.0787	44.9957	3.5221	44.8156	5.6427	69.3001	3.5641	22.0608	3.7779	17.0089	3.8505	46.2484	3.9572	43.6153	3.8910	43.0170	3.8505	46.2484	3.9572	43.6153
3.1548	0.0993	45.0035	4.4406	44.7120	6.2518	52.6436	4.0557	30.2233	4.0950	25.1795	4.9158	45.8167	4.9594	43.2367	4.8572	42.6010	4.9158	45.8167	4.9594	43.2367
5.0000	0.1251	44.9975	5.5955	44.5457	6.7915	43.1867	4.9463	37.9399	4.7868	34.6972	6.2471	45.1704	6.2019	42.7574	6.0465	42.1313	6.2471	45.1704	6.2019	42.7574
7.9245	0.1576	44.9969	7.0483	44.2825	7.5098	40.3291	6.3966	43.4482	6.1308	42.9717	7.9169	44.1756	7.7371	42.1394	7.5055	41.6040	7.9169	44.1756	7.7371	42.1394
12.5594	0.1986	44.9970	8.8759	43.8653	8.7916	41.6159	8.4722	45.9663	8.3701	46.9621	9.9834	42.7502	9.6263	41.3433	9.2923	41.0242	9.9834	42.7502	9.6263	41.3433
19.9054	0.2501	44.9970	11.1745	43.2041	11.0010	43.2509	11.3438	44.9656	11.3876	45.4188	12.4897	40.8127	11.9375	40.3155	11.4800	40.3864	12.4897	40.8127	11.9375	40.3155
31.5479	0.3152	44.9968	14.0631	42.1563	14.1001	42.4423	14.2454	41.4906	14.2898	41.1931	15.4358	38.3350	14.7452	38.9791	14.1719	39.6419	15.4358	38.3350	14.7452	38.9791
50.0000	0.3979	44.9967	17.6842	40.4956	17.6719	40.3911	17.5516	40.7909	17.5177	40.9456	18.7500	35.4480	18.1314	37.2318	17.5264	38.6389	18.7500	35.4480	18.1314	37.2318
79.2447	0.5041	44.9964	22.1953	37.8635	22.2091	37.8518	22.1292	37.6332	22.1077	37.5806	22.3535	32.6294	22.1930	34.9190	21.7882	36.9897	22.3535	32.6294	22.1930	34.9190
125.5943	0.6452	44.9959	27.7247	33.6922	27.7262	33.6800	27.6552	33.7034	27.6363	33.7332	26.5763	30.3222	27.0801	31.7524	27.2801	33.8521	26.5763	30.3222	27.0801	31.7524
199.0536	0.8497	44.9951	34.2143	27.0813	34.2168	27.0802	34.1801	27.0232	34.1672	27.0197	32.4754	27.0772	33.1524	26.9618	34.1640	27.7079	32.4754	27.0772	33.1524	26.9618
315.4787	1.2358	44.9928	40.9047	16.6042	40.9058	16.6050	40.8892	16.5548	40.8828	16.5542	40.4935	18.6020	40.5899	17.8712	41.2107	16.5163	40.4935	18.6020	40.5899	17.8712
500.0000	5.4592	180.0000	3.3014	-180.0000	3.3013	-180.0000	3.3040	-180.0000	3.3040	-180.0000	3.4002	-180.0000	3.3667	-180.0000	3.2807	-180.0000	3.4002	-180.0000	3.3667	-180.0000
