freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.0500,-1.8043,0,-0.1533,-24.9454,-0.0150,-0.2052,-0.3951,-25.1664,-25.1225
0.0792,-2.8484,0,-0.2429,-40.4609,-0.0238,-0.3252,-0.6260,-41.7630,-41.3720
0.1256,-4.5128,0,-0.3850,-37.0803,-0.0377,-0.5154,-0.9924,-36.7164,-36.7226
0.1991,-7.1093,0,-0.6102,-41.5754,-0.0597,-0.8169,-1.5728,-42.1163,-41.9710
0.3155,-11.1267,0,-0.9671,-42.6077,-0.0946,-1.2948,-2.4927,-42.0393,-42.1595
0.5000,-17.0489,0,-1.5324,-43.1394,-0.1500,-2.0518,-3.9488,-43.5987,-43.5559
0.7924,-25.0775,0,-2.4272,-43.2165,-0.2377,-3.2510,-6.2524,-44.1369,-44.0971
1.2559,-34.2022,0,-3.8415,-44.7599,-0.3767,-5.1495,-9.8867,-44.1985,-44.2356
1.9905,-41.8685,0,-6.0667,-43.8392,-0.5971,-8.1485,-15.5760,-44.5930,-44.5853
3.1548,-45.7382,0,-9.5306,-42.8379,-0.9463,-12.8638,-24.3098,-44.6636,-44.6656
5.0000,-46.0136,0,-14.7841,-44.7764,-1.4997,-20.1826,-36.9546,-44.7457,-44.7705
7.9245,-45.1285,0,-22.2874,-42.7569,-2.3766,-31.1429,-51.5686,-44.7617,-44.7876
12.5594,-44.8565,0,-31.7369,-44.1877,-3.7659,-45.7085,-51.3449,-44.7350,-44.7789
19.9054,-44.9540,0,-41.2148,-43.8278,-5.9652,-55.4485,-42.8425,-44.6471,-44.7209
31.5479,-44.9776,0,-47.7404,-40.2451,-9.4412,-42.0545,-45.7591,-44.4915,-44.6007
50.0000,-44.9820,0,-49.4552,-46.6449,-14.9107,-45.7728,-45.3923,-44.2334,-44.3986
79.2447,-44.9880,0,-47.0291,-40.6519,-23.4151,-44.6965,-45.1478,-43.8239,-44.0683
125.5943,-44.9924,0,-43.4739,-43.4430,-36.1679,-44.2542,-44.6258,-43.1965,-43.5442
199.0536,-44.9951,0,-42.0415,-42.1949,-52.5737,-43.3583,-43.6385,-42.2445,-42.7197
315.4787,-44.9968,0,-42.5077,-44.4867,-50.4338,-41.8871,-41.9300,-40.8300,-41.4315
500.0000,-44.9979,0,-40.3232,-40.7606,-34.9591,-39.6038,-39.1914,-38.7754,-39.4402
792.4466,-44.9986,0,-38.0154,-36.4662,-29.5986,-36.2718,-35.1760,-35.8649,-36.3645
1255.9432,-44.9990,0,-33.6810,-32.1607,-28.4036,-31.7501,-30.1968,-31.8431,-31.8470
1990.5359,-44.9993,0,-27.1164,-27.5520,-21.2176,-26.0517,-25.2569,-26.3192,-26.0372
3154.7867,-44.9995,0,-16.6316,-13.5282,-11.6908,-17.9429,-18.9414,-17.8998,-17.9346
5000.0000,0.0000,0,-0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
