time,input,GL,EXP20
0,0,0,0
0.05,0,0,0
0.1,0,0,0
0.15,0,0,0
0.2,0,0,0
0.25,0,0,0
0.3,0,0,0
0.35,0,0,0
0.4,0,0,0
0.45,0,0,0
0.5,0,0,0
0.55,0,0,0
0.6,0,0,0
0.65,0,0,0
0.7,0,0,0
0.75,0,0,0
0.8,0,0,0
0.85,0,0,0
0.9,0,0,0
0.95,0,0,0
1,0,0,0
1.05,0,0,0
1.1,0,0,0
1.15,0,0,0
1.2,0,0,0
1.25,0,0,0
1.3,0,0,0
1.35,0,0,0
1.4,0,0,0
1.45,0,0,0
1.5,0,0,0
1.55,0,0,0
1.6,0,0,0
1.65,0,0,0
1.7,0,0,0
1.75,0,0,0
1.8,0,0,0
1.85,0,0,0
1.9,0,0,0
1.95,0,0,0
2,0,0,0
2.05,0,0,0
2.1,0,0,0
2.15,0,0,0
2.2,0,0,0
2.25,0,0,0
2.3,0,0,0
2.35,0,0,0
2.4,0,0,0
2.45,0,0,0
2.5,0,0,0
2.55,0,0,0
2.6,0,0,0
2.65,0,0,0
2.7,0,0,0
2.75,0,0,0
2.8,0,0,0
2.85,0,0,0
2.9,0,0,0
2.95,0,0,0
3,0,0,0
3.05,0,0,0
3.1,0,0,0
3.15,0,0,0
3.2,0,0,0
3.25,0,0,0
3.3,0,0,0
3.35,0,0,0
3.4,0,0,0
3.45,0,0,0
3.5,0,0,0
3.55,0,0,0
3.6,0,0,0
3.65,0,0,0
3.7,0,0,0
3.75,0,0,0
3.8,0,0,0
3.85,0,0,0
3.9,0,0,0
3.95,0,0,0
4,0,0,0
4.05,0,0,0
4.1,0,0,0
4.15,0,0,0
4.2,0,0,0
4.25,0,0,0
4.3,0,0,0
4.35,0,0,0
4.4,0,0,0
4.45,0,0,0
4.5,0,0,0
4.55,0,0,0
4.6,0,0,0
4.65,0,0,0
4.7,0,0,0
4.75,0,0,0
4.8,0,0,0
4.85,0,0,0
4.9,0,0,0
4.95,0,0,0
5,0,0,0
5.05,0,0,0
5.1,0,0,0
5.15,0,0,0
5.2,0,0,0
5.25,0,0,0
5.3,0,0,0
5.35,0,0,0
5.4,0,0,0
5.45,0,0,0
5.5,0,0,0
5.55,0,0,0
5.6,0,0,0
5.65,0,0,0
5.7,0,0,0
5.75,0,0,0
5.8,0,0,0
5.85,0,0,0
5.9,0,0,0
5.95,0,0,0
6,0,0,0
6.05,0,0,0
6.1,0,0,0
6.15,0,0,0
6.2,0,0,0
6.25,0,0,0
6.3,0,0,0
6.35,0,0,0
6.4,0,0,0
6.45,0,0,0
6.5,0,0,0
6.55,0,0,0
6.6,0,0,0
6.65,0,0,0
6.7,0,0,0
6.75,0,0,0
6.8,0,0,0
6.85,0,0,0
6.9,0,0,0
6.95,0,0,0
7,0,0,0
7.05,0,0,0
7.1,0,0,0
7.15,0,0,0
7.2,0,0,0
7.25,0,0,0
7.3,0,0,0
7.35,0,0,0
7.4,0,0,0
7.45,0,0,0
7.5,0,0,0
7.55,0,0,0
7.6,0,0,0
7.65,0,0,0
7.7,0,0,0
7.75,0,0,0
7.8,0,0,0
7.85,0,0,0
7.9,0,0,0
7.95,0,0,0
8,0,0,0
8.05,0,0,0
8.1,0,0,0
8.15,0,0,0
8.2,0,0,0
8.25,0,0,0
8.3,0,0,0
8.35,0,0,0
8.4,0,0,0
8.45,0,0,0
8.5,0,0,0
8.55,0,0,0
8.6,0,0,0
8.65,0,0,0
8.7,0,0,0
8.75,0,0,0
8.8,0,0,0
8.85,0,0,0
8.9,0,0,0
8.95,0,0,0
9,0,0,0
9.05,0,0,0
9.1,0,0,0
9.15,0,0,0
9.2,0,0,0
9.25,0,0,0
9.3,0,0,0
9.35,0,0,0
9.4,0,0,0
9.45,0,0,0
9.5,0,0,0
9.55,0,0,0
9.6,0,0,0
9.65,0,0,0
9.7,0,0,0
9.75,0,0,0
9.8,0,0,0
9.85,0,0,0
9.9,0,0,0
9.95,0,0,0
10,0,0,0
10.05,0,0,0
10.1,0,0,0
10.15,0,0,0
10.2,0,0,0
10.25,0,0,0
10.3,0,0,0
10.35,0,0,0
10.4,0,0,0
10.45,0,0,0
10.5,1,0.980052,0.980052
10.55,1,0.980569,0.980569
10.6,1,0.982641,0.98118
10.65,1,0.985182,0.981841
10.7,1,0.988039,0.982537
10.75,1,0.991109,0.983254
10.8,1,0.994323,0.983985
10.85,1,0.997635,0.984724
10.9,1,1.00101,0.985465
10.95,1,1.00442,0.986205
11,1,1.00785,0.986939
11.05,1,1.01127,0.987665
11.1,1,1.01467,0.988381
11.15,1,1.01805,0.989085
11.2,1,1.02138,0.989774
11.25,1,1.02466,0.990447
11.3,1,1.02788,0.991103
11.35,1,1.03104,0.991742
11.4,1,1.03413,0.992362
11.45,1,1.03714,0.992962
11.5,1,1.04008,0.993542
11.55,1,1.04293,0.994103
11.6,1,1.0457,0.994642
11.65,1,1.04838,0.995161
11.7,1,1.05097,0.995659
11.75,1,1.05347,0.996137
11.8,1,1.05588,0.996594
11.85,1,1.0582,0.99703
11.9,1,1.06043,0.997446
11.95,1,1.06256,0.997842
12,1,1.06461,0.998218
12.05,1,1.06656,0.998574
12.1,1,1.06843,0.998912
12.15,1,1.0702,0.999231
12.2,1,1.07189,0.999532
12.25,1,1.07349,0.999815
12.3,1,1.07501,1.00008
12.35,1,1.07644,1.00033
12.4,1,1.07778,1.00056
12.45,1,1.07905,1.00078
12.5,1,1.08023,1.00098
12.55,1,1.08134,1.00117
12.6,1,1.08237,1.00134
12.65,1,1.08332,1.0015
12.7,1,1.0842,1.00165
12.75,1,1.08501,1.00178
12.8,1,1.08587,1.0019
12.85,1,1.08667,1.00201
12.9,1,1.08741,1.00211
12.95,1,1.0881,1.0022
13,1,1.08873,1.00228
13.05,1,1.0893,1.00235
13.1,1,1.08983,1.00242
13.15,1,1.09031,1.00247
13.2,1,1.09075,1.00251
13.25,1,1.09114,1.00255
