time	input	amplitude
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
60	0	0
61	0	0
62	0	0
63	1	0.817256
64	1	0.833954
65	1	0.843908
66	1	0.851674
67	1	0.857999
68	1	0.863332
69	1	0.867944
70	1	0.872005
71	1	0.87563
72	1	0.878902
73	1	0.88188
74	1	0.88461
75	1	0.887128
76	1	0.889462
77	1	0.891637
78	1	0.89367
79	1	0.895578
80	1	0.897374
81	1	0.899071
82	1	0.900676
83	1	0.902199
84	1	0.903648
85	1	0.905028
86	1	0.906345
87	1	0.907604
88	1	0.90881
89	1	0.909967
90	1	0.911078
91	1	0.912146
92	1	0.913175
93	1	0.914167
94	1	0.915124
95	1	0.916049
96	1	0.916943
97	1	0.917809
98	1	0.918648
99	1	0.919461
100	1	0.920251
101	1	0.921018
102	1	0.921764
103	1	0.92249
104	1	0.923197
105	1	0.923885
106	1	0.924557
107	1	0.925212
108	1	0.925852
109	1	0.926476
110	1	0.927087
111	1	0.927685
112	1	0.928269
113	1	0.928842
114	1	0.929403
115	1	0.929953
116	1	0.930492
117	1	0.931021
118	1	0.93154
119	1	0.93205
120	1	0.932551
121	1	0.933043
122	1	0.933527
123	1	0.934003
124	1	0.934472
125	1	0.934933
126	0	0.118131
127	0	0.101881
128	0	0.0922868
129	0	0.0848798
130	0	0.078911
131	0	0.0739296
132	0	0.0696658
133	0	0.0659482
134	0	0.0626615
135	0	0.059724
136	0	0.0570758
137	0	0.054671
138	0	0.0524738
139	0	0.0504557
140	0	0.0485936
141	0	0.0468683
142	0	0.0452641
143	0	0.0437678
144	0	0.0423679
145	0	0.041055
146	0	0.0398207
147	0	0.0386577
148	0	0.0375599
149	0	0.0365217
150	0	0.0355381
151	0	0.0346049
152	0	0.0337183
153	0	0.0328746
154	0	0.032071
155	0	0.0313044
156	0	0.0305725
157	0	0.029873
158	0	0.0292036
159	0	0.0285626
160	0	0.0279482
161	0	0.0273588
162	0	0.026793
163	0	0.0262493
164	0	0.0257265
165	0	0.0252235
166	0	0.0247393
167	0	0.0242728
168	0	0.0238231
169	0	0.0233893
170	0	0.0229708
171	0	0.0225666
172	0	0.0221762
173	0	0.0217989
174	0	0.021434
175	0	0.021081
176	0	0.0207394
177	0	0.0204087
178	0	0.0200883
179	0	0.0197779
180	0	0.019477
181	0	0.0191852
182	0	0.0189022
183	0	0.0186275
184	0	0.0183608
185	0	0.0181019
186	0	0.0178504
187	0	0.0176061
188	0	0.0173686
189	1	0.834394
190	1	0.850867
191	1	0.860602
192	1	0.868156
193	1	0.874274
194	1	0.879406
195	1	0.883821
196	1	0.887691
197	1	0.891131
198	1	0.894221
199	1	0.897022
200	1	0.899579
201	1	0.901929
202	1	0.9041
203	1	0.906114
204	1	0.907991
205	1	0.909746
206	1	0.911393
207	1	0.912944
208	1	0.914406
209	1	0.91579
210	1	0.917102
211	1	0.918348
212	1	0.919534
213	1	0.920665
214	1	0.921745
215	1	0.922778
216	1	0.923767
217	1	0.924716
218	1	0.925627
219	1	0.926503
220	1	0.927346
221	1	0.928158
222	1	0.928941
223	1	0.929697
224	1	0.930428
225	1	0.931134
226	1	0.931818
227	1	0.93248
228	1	0.933122
229	1	0.933744
230	1	0.934348
231	1	0.934935
232	1	0.935506
233	1	0.93606
234	1	0.9366
235	1	0.937125
236	1	0.937637
237	1	0.938136
238	1	0.938622
239	1	0.939096
240	1	0.939559
241	1	0.940012
242	1	0.940453
243	1	0.940885
244	1	0.941307
245	1	0.941719
246	1	0.942123
247	1	0.942519
248	1	0.942906
249	1	0.943285
250	1	0.943656
251	1	0.944021
252	0	0.127122
253	0	0.110774
254	0	0.101164
255	0	0.093735
256	0	0.0876787
257	0	0.0826135
258	0	0.078268
259	0	0.0744702
260	0	0.0711047
261	0	0.0680897
262	0	0.065365
263	0	0.0628848
264	0	0.0606131
265	0	0.0585215
266	0	0.0565866
267	0	0.0547895
268	0	0.0531142
269	0	0.0515476
270	0	0.0500781
271	0	0.0486963
272	0	0.0473938
273	0	0.0461633
274	0	0.0449986
275	0	0.0438941
276	0	0.0428448
277	0	0.0418466
278	0	0.0408953
279	0	0.0399877
280	0	0.0391206
281	0	0.0382912
282	0	0.0374968
283	0	0.0367353
284	0	0.0360046
285	0	0.0353026
286	0	0.0346277
287	0	0.0339783
288	0	0.0333528
289	0	0.0327499
290	0	0.0321685
291	0	0.0316072
292	0	0.0310651
293	0	0.0305411
294	0	0.0300344
295	0	0.029544
296	0	0.0290692
297	0	0.0286093
298	0	0.0281634
299	0	0.027731
300	0	0.0273115
301	0	0.0269043
302	0	0.0265088
303	0	0.0261246
304	0	0.0257511
305	0	0.025388
306	0	0.0250347
307	0	0.0246909
308	0	0.0243562
309	0	0.0240303
310	0	0.0237128
311	0	0.0234035
312	0	0.0231019
313	0	0.0228077
314	0	0.0225209
315	1	0.839497
316	1	0.855921
317	1	0.865609
318	1	0.873115
319	1	0.879185
320	1	0.88427
321	1	0.888638
322	1	0.892462
323	1	0.895855
324	1	0.8989
325	1	0.901656
326	1	0.904168
327	1	0.906474
328	1	0.9086
329	1	0.91057
330	1	0.912404
331	1	0.914116
332	1	0.915721
333	1	0.917229
334	1	0.91865
335	1	0.919992
336	1	0.921263
337	1	0.922468
338	1	0.923614
339	1	0.924704
340	1	0.925745
341	1	0.926738
342	1	0.927688
343	1	0.928599
344	1	0.929471
345	1	0.930309
346	1	0.931114
347	1	0.931889
348	1	0.932636
349	1	0.933355
350	1	0.934049
351	1	0.93472
352	1	0.935368
353	1	0.935995
354	1	0.936601
355	1	0.937189
356	1	0.937759
357	1	0.938312
358	1	0.938848
359	1	0.939369
360	1	0.939875
361	1	0.940368
362	1	0.940847
363	1	0.941313
364	1	0.941767
365	1	0.942209
366	1	0.94264
367	1	0.943061
368	1	0.943471
369	1	0.943872
370	1	0.944263
371	1	0.944645
372	1	0.945018
373	1	0.945383
374	1	0.94574
375	1	0.946089
376	1	0.94643
377	0	0.129509
378	0	0.113139
379	0	0.103505
380	0	0.0960535
381	0	0.0900369
382	0	0.0850055
383	0	0.0806902
384	0	0.0769199
385	0	0.0735796
386	0	0.0705879
387	0	0.0678849
388	0	0.0654248
