time,f(t),IIR_CFE,Grunwald,exponential,recursive,shiftAvg1,shiftAvg9,shiftAvg5,shiftAvg3,shiftAvg8
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.0100,0.0788,1.1148,0.7883,0.7883,0.7883,0.7883,0.7883,0.7883,0.7883,0.7883
0.0200,0.1572,1.1079,1.1776,1.1776,1.1776,1.1776,1.1776,1.1776,1.1776,1.1776
0.0300,0.2345,1.6515,1.4609,1.4609,1.4609,1.4609,1.4856,1.5000,1.4856,1.4856
0.0400,0.3104,1.6274,1.6860,1.6860,1.6860,1.6860,1.7360,1.7535,1.7372,1.7360
0.0500,0.3844,2.0112,1.8697,1.8697,1.8697,1.8697,1.9400,1.9821,1.9444,1.9400
0.0600,0.4560,1.9644,2.0202,2.0202,2.0202,2.0202,2.1027,2.1693,2.1124,2.1027
0.0700,0.5247,2.2538,2.1420,2.1420,2.1420,2.1420,2.2431,2.3188,2.2437,2.2440
0.0800,0.5902,2.1808,2.2378,2.2378,2.2378,2.2378,2.3528,2.4333,2.3629,2.3550
0.0900,0.6520,2.3991,2.3093,2.3093,2.3093,2.3093,2.4336,2.5143,2.4541,2.4375
0.1000,0.7097,2.2976,2.3579,2.3579,2.3579,2.3579,2.4866,2.5844,2.5187,2.4928
0.1100,0.7631,2.4561,2.3844,2.3844,2.3844,2.3844,2.5231,2.6269,2.5576,2.5215
0.1200,0.8116,2.3250,2.3898,2.3898,2.3898,2.3898,2.5352,2.6432,2.5715,2.5376
0.1300,0.8552,2.4309,2.3748,2.3748,2.3748,2.3748,2.5237,2.6341,2.5609,2.5305
0.1400,0.8934,2.2702,2.3402,2.3402,2.3402,2.3402,2.4895,2.6005,2.5265,2.5010
0.1500,0.9260,2.3289,2.2866,2.2866,2.2866,2.2866,2.4331,2.5434,2.4688,2.4498
0.1600,0.9529,2.1395,2.2148,2.2148,2.2148,2.2148,2.3626,2.4635,2.4059,2.3777
0.1700,0.9738,2.1558,2.1257,2.1257,2.1257,2.1257,2.2722,2.3731,2.3229,2.2856
0.1800,0.9887,1.9398,2.0201,2.0201,2.0201,2.0201,2.1632,2.2629,2.2208,2.1743
0.1900,0.9974,1.9184,1.8990,1.8990,1.8990,1.8990,2.0363,2.1338,2.1004,2.0446
0.2000,1.0000,1.6783,1.7633,1.7633,1.7633,1.7633,1.8928,1.9870,1.9630,1.9076
0.2100,0.9963,1.6242,1.6141,1.6141,1.6141,1.6141,1.7336,1.8238,1.8095,1.7550
0.2200,0.9864,1.3636,1.4526,1.4526,1.4526,1.4526,1.5649,1.6454,1.6412,1.5881
0.2300,0.9703,1.2820,1.2797,1.2797,1.2797,1.2797,1.3833,1.4532,1.4593,1.4082
0.2400,0.9482,1.0049,1.0969,1.0969,1.0969,1.0969,1.1901,1.2484,1.2651,1.2166
0.2500,0.9203,0.9012,0.9053,0.9053,0.9053,0.9053,0.9868,1.0326,1.0600,1.0145
0.2600,0.8866,0.6122,0.7063,0.7063,0.7063,0.7063,0.7747,0.8138,0.8453,0.8035
0.2700,0.8473,0.4922,0.5012,0.5011,0.5025,0.5029,0.5552,0.5871,0.6225,0.5849
0.2800,0.8028,0.1964,0.2913,0.2910,0.2959,0.2963,0.3299,0.3542,0.3931,0.3601
0.2900,0.7533,0.0659,0.0781,0.0773,0.0856,0.0879,0.1037,0.1166,0.1585,0.1308
0.3000,0.6991,-0.2315,-0.1370,-0.1386,-0.1234,-0.1210,-0.1253,-0.1240,-0.0796,-0.1016
0.3100,0.6406,-0.3665,-0.3526,-0.3553,-0.3349,-0.3292,-0.3555,-0.3660,-0.3198,-0.3357
0.3200,0.5781,-0.6603,-0.5674,-0.5715,-0.5410,-0.5354,-0.5854,-0.6079,-0.5499,-0.5698
0.3300,0.5120,-0.7939,-0.7798,-0.7859,-0.7483,-0.7382,-0.8134,-0.8480,-0.7788,-0.7958
0.3400,0.4426,-1.0786,-0.9886,-0.9970,-0.9465,-0.9364,-1.0381,-1.0848,-1.0048,-1.0186
0.3500,0.3706,-1.2051,-1.1924,-1.2036,-1.1442,-1.1288,-1.2580,-1.3167,-1.2264,-1.2369
0.3600,0.2962,-1.4756,-1.3898,-1.4043,-1.3296,-1.3141,-1.4717,-1.5423,-1.4423,-1.4492
0.3700,0.2200,-1.5897,-1.5796,-1.5979,-1.5128,-1.4913,-1.6754,-1.7561,-1.6510,-1.6541
0.3800,0.1424,-1.8411,-1.7606,-1.7831,-1.6807,-1.6592,-1.8701,-1.9607,-1.8511,-1.8502
0.3900,0.0639,-1.9377,-1.9316,-1.9588,-1.8447,-1.8168,-2.0545,-2.1546,-2.0413,-2.0363
0.4000,-0.0149,-2.1656,-2.0915,-2.1240,-1.9910,-1.9630,-2.2275,-2.3365,-2.2203,-2.2111
0.4100,-0.0937,-2.2402,-2.2393,-2.2774,-2.1317,-2.0971,-2.3879,-2.5054,-2.3870,-2.3736
0.4200,-0.1719,-2.4407,-2.3739,-2.4182,-2.2527,-2.2181,-2.5347,-2.6600,-2.5404,-2.5226
0.4300,-0.2490,-2.4895,-2.4947,-2.5455,-2.3665,-2.3253,-2.6669,-2.7994,-2.6793,-2.6573
0.4400,-0.3246,-2.6593,-2.6006,-2.6584,-2.4593,-2.4180,-2.7837,-2.9227,-2.8029,-2.7766
0.4500,-0.3982,-2.6792,-2.6912,-2.7563,-2.5433,-2.4957,-2.8843,-3.0290,-2.9104,-2.8800
0.4600,-0.4692,-2.8158,-2.7658,-2.8385,-2.6055,-2.5578,-2.9663,-3.1177,-3.0010,-2.9665
0.4700,-0.5374,-2.8043,-2.8239,-2.9045,-2.6576,-2.6040,-3.0309,-3.1882,-3.0743,-3.0358
0.4800,-0.6022,-2.9059,-2.8651,-2.9539,-2.6876,-2.6340,-3.0777,-3.2399,-3.1296,-3.0873
0.4900,-0.6633,-2.8617,-2.8891,-2.9863,-2.7066,-2.6476,-3.1062,-3.2726,-3.1665,-3.1208
0.5000,-0.7202,-2.9273,-2.8958,-3.0016,-2.7037,-2.6448,-3.1164,-3.2838,-3.1850,-3.1358
0.5100,-0.7726,-2.8496,-2.8851,-2.9996,-2.6888,-2.6254,-3.1081,-3.2755,-3.1847,-3.1325
0.5200,-0.8203,-2.8793,-2.8571,-2.9803,-2.6532,-2.5898,-3.0814,-3.2478,-3.1657,-3.1107
0.5300,-0.8628,-2.7684,-2.8119,-2.9438,-2.6049,-2.5380,-3.0363,-3.2010,-3.1281,-3.0705
0.5400,-0.9000,-2.7629,-2.7497,-2.8904,-2.5373,-2.4704,-2.9732,-3.1351,-3.0721,-3.0087
0.5500,-0.9315,-2.6198,-2.6711,-2.8203,-2.4568,-2.3874,-2.8925,-3.0506,-2.9980,-2.9291
0.5600,-0.9573,-2.5809,-2.5763,-2.7340,-2.3590,-2.2896,-2.7933,-2.9480,-2.9062,-2.8323
0.5700,-0.9771,-2.4076,-2.4660,-2.6320,-2.2481,-2.1775,-2.6775,-2.8280,-2.7973,-2.7187
0.5800,-0.9908,-2.3376,-2.3410,-2.5150,-2.1225,-2.0519,-2.5458,-2.6912,-2.6720,-2.5891
0.5900,-0.9984,-2.1367,-2.2018,-2.3836,-1.9841,-1.9135,-2.3989,-2.5384,-2.5311,-2.4443
0.6000,-0.9997,-2.0389,-2.0494,-2.2386,-1.8338,-1.7632,-2.2379,-2.3707,-2.3753,-2.2852
0.6100,-0.9949,-1.8140,-1.8848,-2.0810,-1.6712,-1.6019,-2.0636,-2.1889,-2.2057,-2.1126
0.6200,-0.9838,-1.6922,-1.7089,-1.9116,-1.5000,-1.4307,-1.8772,-1.9944,-2.0233,-1.9277
0.6300,-0.9666,-1.4473,-1.5228,-1.7317,-1.3173,-1.2505,-1.6798,-1.7881,-1.8292,-1.7316
0.6400,-0.9434,-1.3060,-1.3277,-1.5422,-1.1294,-1.0626,-1.4725,-1.5715,-1.6211,-1.5255
0.6500,-0.9143,-1.0457,-1.1248,-1.3443,-0.9311,-0.8680,-1.2568,-1.3444,-1.4039,-1.3106
0.6600,-0.8795,-0.8898,-0.9153,-1.1392,-0.7311,-0.6681,-1.0338,-1.1097,-1.1789,-1.0883
0.6700,-0.8393,-0.6191,-0.7005,-0.9282,-0.5221,-0.4640,-0.8041,-0.8688,-0.9474,-0.8600
0.6800,-0.7938,-0.4538,-0.4818,-0.7127,-0.3151,-0.2570,-0.5701,-0.6232,-0.7110,-0.6270
0.6900,-0.7434,-0.1781,-0.2604,-0.4939,-0.1006,-0.0484,-0.3330,-0.3743,-0.4709,-0.3908
0.7000,-0.6884,-0.0088,-0.0379,-0.2732,0.1083,0.1605,-0.0945,-0.1237,-0.2287,-0.1528
0.7100,-0.6291,0.2666,0.1846,-0.0519,0.3231,0.3684,0.1441,0.1270,0.0140,0.0855
0.7200,-0.5658,0.4343,0.4055,0.1685,0.5287,0.5740,0.3812,0.3764,0.2559,0.3226
