freq,CFEAmp,fullAmp,expAmp,recAmp,shiftAvgAmp1,shiftAvgAmp9,shiftAvgAmp5,shiftAvgAmp3,shiftAvgAmp8
0.0500,0.6650,0,0.4045,0.4964,0.1861,0.3988,0.4851,1.6773,1.6908
0.0792,0.6647,0,0.4045,0.4711,0.1861,0.3988,0.4851,1.3119,1.3250
0.1256,0.6640,0,0.4045,0.4521,0.1861,0.3988,0.4851,1.0686,1.0853
0.1991,0.6624,0,0.4045,0.4339,0.1861,0.3988,0.4850,0.9189,0.9308
0.3155,0.6583,0,0.4045,0.4147,0.1861,0.3988,0.4848,0.7955,0.8059
0.5000,0.6482,0,0.4044,0.3968,0.1861,0.3987,0.4843,0.6883,0.6979
0.7924,0.6255,0,0.4041,0.3777,0.1861,0.3984,0.4830,0.5979,0.6058
1.2559,0.5804,0,0.4034,0.3563,0.1861,0.3976,0.4797,0.5199,0.5267
1.9905,0.5091,0,0.4018,0.3374,0.1861,0.3958,0.4717,0.4515,0.4575
3.1548,0.4274,0,0.3977,0.3162,0.1861,0.3913,0.4523,0.3929,0.3981
5.0000,0.3587,0,0.3880,0.2929,0.1860,0.3803,0.4091,0.3419,0.3464
7.9245,0.3090,0,0.3670,0.2729,0.1860,0.3547,0.3300,0.2977,0.3016
12.5594,0.2698,0,0.3280,0.2488,0.1858,0.3021,0.2534,0.2592,0.2626
19.9054,0.2351,0,0.2725,0.2255,0.1853,0.2288,0.2338,0.2258,0.2287
31.5479,0.2046,0,0.2157,0.2055,0.1842,0.1981,0.2005,0.1967,0.1992
50.0000,0.1782,0,0.1731,0.1788,0.1815,0.1761,0.1741,0.1714,0.1735
79.2447,0.1552,0,0.1472,0.1607,0.1748,0.1524,0.1508,0.1494,0.1511
125.5943,0.1351,0,0.1317,0.1392,0.1591,0.1322,0.1305,0.1304,0.1317
199.0536,0.1177,0,0.1187,0.1214,0.1276,0.1148,0.1130,0.1139,0.1148
315.4787,0.1024,0,0.1031,0.1012,0.0922,0.0999,0.0981,0.0997,0.1002
500.0000,0.0891,0,0.0892,0.0898,0.0959,0.0874,0.0858,0.0877,0.0877
792.4466,0.0773,0,0.0779,0.0773,0.0768,0.0769,0.0760,0.0774,0.0771
1255.9432,0.0667,0,0.0682,0.0679,0.0705,0.0685,0.0686,0.0688,0.0684
1990.5359,0.0565,0,0.0602,0.0599,0.0605,0.0614,0.0624,0.0614,0.0614
3154.7867,0.0451,0,0.0541,0.0536,0.0542,0.0548,0.0552,0.0547,0.0548
5000.0000,0.0006,0,0.0079,0.0077,0.0077,0.0077,0.0076,0.0077,0.0077
