freq,CFEAmp,fullAmp,expAmp,recAmp,shiftAvgAmp1,shiftAvgAmp9,shiftAvgAmp5,shiftAvgAmp3,shiftAvgAmp8
0.0500,1.5059,0,0.9373,4.0971,4.6292,2.1528,1.7697,0.6359,0.6237
0.0792,1.5066,0,0.9376,4.0971,4.6292,2.1529,1.7700,0.8192,0.7997
0.1256,1.5081,0,0.9385,4.0971,4.6292,2.1531,1.7705,0.9547,0.9325
0.1991,1.5119,0,0.9406,4.0972,4.6292,2.1535,1.7719,1.1161,1.0899
0.3155,1.5214,0,0.9458,4.0974,4.6292,2.1547,1.7754,1.2941,1.2647
0.5000,1.5448,0,0.9589,4.0977,4.6293,2.1575,1.7841,1.4972,1.4626
0.7924,1.6006,0,0.9910,4.0986,4.6293,2.1647,1.8058,1.7269,1.6871
1.2559,1.7247,0,1.0668,4.1005,4.6295,2.1824,1.8586,1.9875,1.9424
1.9905,1.9654,0,1.2350,4.1047,4.6300,2.2261,1.9815,2.2859,2.2342
3.1548,2.3403,0,1.5708,4.1139,4.6313,2.3303,2.2429,2.6264,2.5678
5.0000,2.7876,0,2.1584,4.1337,4.6345,2.5624,2.7120,3.0157,2.9498
7.9245,3.2352,0,3.0427,4.1750,4.6424,3.0160,3.3425,3.4612,3.3874
12.5594,3.7059,0,4.1399,4.2587,4.6624,3.7189,3.8933,3.9704,3.8886
19.9054,4.2538,0,5.1897,4.4227,4.7119,4.4590,4.4286,4.5518,4.4628
31.5479,4.8873,0,5.9512,4.7202,4.8329,5.0355,5.1405,5.2148,5.1201
50.0000,5.6120,0,6.4354,5.2209,5.1183,5.8166,5.9430,5.9689,5.8719
79.2447,6.4437,0,6.8370,6.0073,5.7396,6.6974,6.8679,6.8238,6.7302
125.5943,7.3993,0,7.4060,7.0508,6.9038,7.7040,7.9205,7.7886,7.7074
199.0536,8.4977,0,8.3798,8.5507,8.5701,8.8383,9.0966,8.8706,8.8150
315.4787,9.7625,0,9.7593,9.9052,9.9698,10.0977,10.3722,10.0745,10.0599
500.0000,11.2258,0,11.1819,11.0771,11.0297,11.4677,11.6929,11.4022,11.4386
792.4466,12.9381,0,12.8266,12.7874,12.7719,12.9264,12.9879,12.8546,12.9207
1255.9432,15.0024,0,14.6486,14.5992,14.5760,14.4744,14.3058,14.4436,14.4795
1990.5359,17.6958,0,16.6182,16.5984,16.5855,16.2329,15.9846,16.2448,16.2342
3154.7867,22.1560,0,18.4963,18.4885,18.4818,18.3557,18.3061,18.3660,18.3548
5000.0000,38.8227,0,2.9913,2.9956,2.9956,3.0393,3.0645,3.0378,3.0394
