inputFreq,CFEAmp,CFEPhase,fullAmp,fullPhase,expAmp,expPhase,recAmp,recPhase,shiftAvgAmp1,shiftAvgPhase1,shiftAvgAmp9,shiftAvgPhase9,shiftAvgAmp5,shiftAvgPhase5,shiftAvgAmp3,shiftAvgPhase3,shiftAvgAmp8,shiftAvgPhase8
0.0500,0.4730,32.2176,0.4592,45.6368,0.0000,0.0000,0.0000,0.0000,1.2889,3.3860,0.5016,29.5805,0.4805,41.5412,0.5157,45.9446,0.4986,46.0197
0.0792,0.5982,39.9302,0.6493,45.0216,0.0000,0.0000,0.0000,0.0000,1.2938,5.3463,0.6152,38.5145,0.6581,46.3588,0.7387,44.8502,0.7117,45.0540
0.1256,0.7960,45.0657,0.8364,44.6564,0.0000,0.0000,0.0000,0.0000,1.3054,8.4166,0.8146,45.4897,0.9043,47.8558,0.9428,43.6848,0.9108,44.1617
0.1991,1.0609,46.1194,1.0737,44.7314,0.0000,0.0000,0.0000,0.0000,1.3339,13.1069,1.1121,47.6626,1.1853,46.2241,1.2062,43.5690,1.1688,44.1464
0.3155,1.3789,45.3622,1.3725,44.6885,0.0000,0.0000,0.0000,0.0000,1.4031,19.9183,1.4795,45.8909,1.5149,45.7516,1.5324,43.2152,1.4891,43.9280
0.5000,1.7462,44.9136,1.7430,44.5022,0.0000,0.0000,0.0000,0.0000,1.5613,28.7729,1.8629,44.4493,1.9446,45.1391,1.9320,42.7337,1.8847,43.5323
0.7924,2.2077,44.9525,2.2074,44.2375,0.0000,0.0000,0.0000,0.0000,1.8929,38.0995,2.3639,44.0861,2.4776,44.1327,2.4227,42.1031,2.3759,43.0066
1.2559,2.7907,44.9739,2.7890,43.8282,0.0000,0.0000,0.0000,0.0000,2.5014,44.8579,2.9863,43.0458,3.1354,42.7143,3.0249,41.3064,2.9835,42.2780
1.9905,3.5230,44.9683,3.5188,43.1636,0.0000,0.0000,0.0000,0.0000,3.4426,46.4481,3.7496,41.6845,3.9318,40.7739,3.7595,40.2789,3.7332,41.2321
3.1548,4.4462,44.9686,4.4344,42.1168,0.0000,0.0000,0.0000,0.0000,4.5683,42.9023,4.6733,39.9027,4.8668,38.2989,4.6499,38.9401,4.6502,39.7603
5.0000,5.6168,44.9668,5.5812,40.4555,0.0000,0.0000,0.0000,0.0000,5.5506,39.4861,5.7719,37.6433,5.9181,35.4137,5.7232,37.1916,5.7559,37.6997
7.9245,7.1205,44.9640,7.0092,37.8236,0.0000,0.0000,0.0000,0.0000,7.0556,38.1914,7.0579,34.8829,7.0606,32.5958,7.0094,34.8813,7.0562,34.9548
12.5594,9.1167,44.9594,8.7593,33.6532,0.0000,0.0000,0.0000,0.0000,8.7667,33.9243,8.5735,31.5473,8.3983,30.2872,8.5565,31.7134,8.5769,31.5591
19.9054,12.0088,44.9508,10.8137,27.0460,0.0000,0.0000,0.0000,0.0000,10.8227,26.9065,10.4683,26.8560,10.2651,27.0387,10.4787,26.9265,10.4689,26.8491
31.5479,17.4728,44.9273,12.9327,16.5798,0.0000,0.0000,0.0000,0.0000,12.9144,16.5499,12.8269,17.8715,12.8026,18.5733,12.8333,17.8434,12.8263,17.8718
50.0000,32.6350,180.0000,1.0383,-180.0000,0.0000,0.0000,0.0000,0.0000,1.0395,-180.0000,1.0593,-180.0000,1.0694,-180.0000,1.0589,-180.0000,1.0594,-180.0000
