freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.0500,10.3281,45.6368,0.0000,0.0000,1.6117,9.0286,16.3717,43.8358,25.5452
0.0792,15.8641,45.0216,0.0000,0.0000,2.5514,13.9730,24.1926,45.1891,34.1835
0.1256,23.6153,44.6564,0.0000,0.0000,4.0381,21.1125,33.6528,44.0631,41.6770
0.1991,32.7914,44.7314,0.0000,0.0000,6.3729,30.1155,42.1703,43.6090,45.1283
0.3155,41.0261,44.6885,0.0000,0.0000,9.9935,39.0763,46.8245,43.2369,44.9749
0.5000,45.7104,44.5022,0.0000,0.0000,15.4310,44.9932,46.8019,42.7385,43.6954
0.7924,46.4469,44.2375,0.0000,0.0000,23.0313,46.1007,44.4274,42.1035,42.9835
1.2559,45.4281,43.8282,0.0000,0.0000,32.1763,43.7632,42.6107,41.3058,42.2713
1.9905,44.8870,43.1636,0.0000,0.0000,40.5046,41.5235,40.7730,40.2790,41.2320
3.1548,44.9481,42.1168,0.0000,0.0000,44.7959,39.8946,38.2997,38.9401,39.7603
5.0000,44.9714,40.4555,0.0000,0.0000,43.1681,37.6455,35.4136,37.1916,37.6997
7.9245,44.9635,37.8236,0.0000,0.0000,37.2412,34.8829,32.5959,34.8813,34.9549
12.5594,44.9594,33.6532,0.0000,0.0000,33.6944,31.5473,30.2872,31.7134,31.5591
19.9054,44.9507,27.0460,0.0000,0.0000,26.6283,26.8560,27.0387,26.9265,26.8491
31.5479,44.9276,16.5798,0.0000,0.0000,16.3251,17.8715,18.5733,17.8434,17.8718
50.0000,180.0000,-180.0000,0.0000,0.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000
