freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.0500,-24.8121,-24.8885,-12.0425,-24.8408,-1.4753,-15.9008,-22.8235,-25.1593,-25.0817
0.0792,-40.2562,-40.3958,-18.7213,-40.2985,-2.3350,-25.2848,-37.2908,-41.5846,-41.2587
0.1256,-37.3033,-36.9732,-27.6171,-36.7877,-3.7044,-38.0423,-43.3114,-36.6165,-36.5937
0.1991,-41.5258,-41.4399,-36.7269,-41.4248,-5.8681,-47.4464,-39.1999,-41.6104,-41.6810
0.3155,-42.1206,-41.8216,-44.3081,-41.0187,-9.2933,-40.3957,-42.6738,-41.7361,-41.7220
0.5000,-43.4105,-42.9955,-47.1742,-43.5946,-14.6711,-43.9774,-43.4764,-42.8791,-42.9351
0.7924,-43.9983,-43.3156,-45.7662,-41.9346,-23.0433,-43.6588,-43.9866,-42.9063,-43.1659
1.2559,-44.2136,-43.0963,-42.7940,-42.3243,-35.6146,-43.4970,-43.8867,-42.4687,-42.7866
1.9905,-44.5590,-42.7866,-41.6209,-43.0117,-51.7982,-42.9010,-43.1780,-41.8706,-42.3280
3.1548,-44.6721,-41.8485,-42.1955,-42.4406,-49.8634,-41.5928,-41.6384,-40.5208,-41.1317
5.0000,-44.7991,-40.3159,-40.1387,-40.1345,-34.8943,-39.4199,-39.0108,-38.6132,-39.2695
7.9245,-44.8564,-37.7411,-37.8894,-36.7002,-29.7242,-36.1570,-35.0667,-35.7458,-36.2456
12.5594,-44.9011,-33.6171,-33.6041,-32.2362,-28.4552,-31.6788,-30.1293,-31.7663,-31.7751
19.9054,-44.9326,-27.0391,-27.0691,-27.3257,-21.3250,-26.0064,-25.2138,-26.2763,-25.9933
31.5479,-44.9519,-16.5834,-16.6082,-13.6500,-11.7962,-17.9167,-18.9134,-17.8733,-17.9079
50.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000
