freq,CFEAmp,fullAmp,expAmp,recAmp,shiftAvgAmp1,shiftAvgAmp9,shiftAvgAmp5,shiftAvgAmp3,shiftAvgAmp8
0.0500,0.5533,0,0.1684,2.3877,0.0573,0.2037,0.2823,2.3525,2.3742
0.0792,0.5526,0,0.1684,1.6628,0.0573,0.2037,0.2822,1.6286,1.6446
0.1256,0.5510,0,0.1684,1.1569,0.0573,0.2036,0.2822,1.1001,1.1231
0.1991,0.5474,0,0.1684,0.9005,0.0573,0.2036,0.2822,0.8714,0.8843
0.3155,0.5384,0,0.1684,0.7167,0.0573,0.2036,0.2820,0.6852,0.6968
0.5000,0.5178,0,0.1683,0.5705,0.0573,0.2035,0.2817,0.5429,0.5522
0.7924,0.4753,0,0.1682,0.4335,0.0573,0.2034,0.2808,0.4311,0.4378
1.2559,0.4049,0,0.1679,0.3625,0.0573,0.2029,0.2785,0.3420,0.3475
1.9905,0.3176,0,0.1672,0.2894,0.0573,0.2018,0.2730,0.2704,0.2748
3.1548,0.2379,0,0.1653,0.2142,0.0573,0.1991,0.2595,0.2147,0.2181
5.0000,0.1801,0,0.1610,0.1858,0.0572,0.1924,0.2288,0.1702,0.1730
7.9245,0.1412,0,0.1515,0.1487,0.0572,0.1767,0.1692,0.1352,0.1373
12.5594,0.1126,0,0.1337,0.1042,0.0572,0.1431,0.1011,0.1074,0.1091
19.9054,0.0895,0,0.1079,0.0927,0.0570,0.0904,0.0893,0.0853,0.0866
31.5479,0.0710,0,0.0804,0.0727,0.0566,0.0655,0.0694,0.0677,0.0688
50.0000,0.0564,0,0.0581,0.0545,0.0556,0.0563,0.0551,0.0538,0.0546
79.2447,0.0448,0,0.0433,0.0453,0.0532,0.0439,0.0434,0.0428,0.0434
125.5943,0.0356,0,0.0344,0.0327,0.0474,0.0347,0.0342,0.0340,0.0345
199.0536,0.0283,0,0.0283,0.0293,0.0351,0.0275,0.0270,0.0271,0.0274
315.4787,0.0224,0,0.0227,0.0239,0.0178,0.0218,0.0213,0.0217,0.0218
500.0000,0.0178,0,0.0178,0.0169,0.0209,0.0173,0.0169,0.0174,0.0174
792.4466,0.0140,0,0.0142,0.0140,0.0132,0.0140,0.0137,0.0141,0.0140
1255.9432,0.0110,0,0.0114,0.0107,0.0123,0.0114,0.0114,0.0115,0.0114
1990.5359,0.0083,0,0.0092,0.0090,0.0093,0.0095,0.0097,0.0095,0.0095
3154.7867,0.0057,0,0.0077,0.0073,0.0077,0.0079,0.0080,0.0079,0.0079
5000.0000,0.0000,0,0.0011,0.0010,0.0010,0.0011,0.0010,0.0011,0.0011
