freq,CFEAmp,fullAmp,expAmp,recAmp,shiftAvgAmp1,shiftAvgAmp9,shiftAvgAmp5,shiftAvgAmp3,shiftAvgAmp8
0.0500,2.3543,0.4596,28.2784,5.1755,5.8651,2.6527,1.9806,0.8150,1.4991
0.0792,2.3552,0.6497,28.2527,5.1756,5.8652,2.6535,1.9826,0.8538,1.5043
0.1256,2.3575,0.8369,28.2070,5.1760,5.8653,2.6553,1.9876,0.9391,1.5165
0.1991,2.3629,1.0745,28.1009,5.1768,5.8656,2.6600,1.9998,1.1140,1.5465
0.3155,2.3768,1.3734,27.8204,5.1788,5.8664,2.6716,2.0303,1.4302,1.6195
0.5000,2.4110,1.7442,27.1679,5.1838,5.8684,2.7005,2.1046,1.8969,1.7860
0.7924,2.4946,2.2090,25.7429,5.1960,5.8734,2.7717,2.2790,2.4821,2.1318
1.2559,2.6904,2.7912,23.1359,5.2256,5.8859,2.9416,2.6580,3.1568,2.7511
1.9905,3.1149,3.5221,19.4931,5.2955,5.9171,3.3234,3.3879,3.9608,3.6718
3.1548,3.9250,4.4406,15.8931,5.4567,5.9947,4.0957,4.5854,4.9600,4.8039
5.0000,5.2290,5.5955,13.3544,5.8112,6.1850,5.4413,6.1983,6.2019,6.0744
7.9245,6.9605,7.0483,12.0575,6.5334,6.6359,7.3792,7.9857,7.7371,7.5924
12.5594,8.9380,8.8759,11.7398,7.8609,7.6360,9.6054,9.9914,9.6263,9.4951
19.9054,11.2118,11.1745,12.2956,10.0564,9.6254,11.9429,12.4872,11.9375,11.8551
31.5479,14.0919,14.0631,13.9901,13.2456,13.0403,14.8136,15.4358,14.7452,14.7470
50.0000,17.7947,17.6842,17.2851,17.7894,17.8469,18.2876,18.7500,18.1314,18.2363
79.2447,22.5457,22.1953,22.1882,22.6295,22.7388,22.3473,22.3535,22.1930,22.3420
125.5943,28.8555,27.7247,27.7649,27.4170,27.3294,27.1336,26.5763,27.0801,27.1444
199.0536,37.9977,34.2143,34.2342,34.3142,34.2988,33.1197,32.4754,33.1524,33.1215
315.4787,55.2679,40.9047,40.9181,40.8877,40.8642,40.5697,40.4935,40.5899,40.5680
500.0000,62.7441,3.3014,3.3003,3.3130,3.3130,3.3682,3.4002,3.3667,3.3683
