freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.05,-0.1845,0,-0.0154,-24.96,-0.0015,-0.0206,-0.0397,-25.2201,-16.1795
0.0792,-0.2929,0,-0.0243,-40.4978,-0.0024,-0.0326,-0.0629,-41.7036,-25.7977
0.1256,-0.4612,0,-0.0386,-37.0213,-0.0038,-0.0516,-0.0996,-36.8324,-36.5521
0.1991,-0.7341,0,-0.0611,-41.8474,-0.006,-0.0819,-0.1579,-41.9241,-43.4991
0.3155,-1.1633,0,-0.0969,-41.782,-0.0095,-0.1297,-0.2503,-42.2013,-42.9378
0.5,-1.8425,0,-0.1536,-43.0478,-0.015,-0.2056,-0.3966,-43.6405,-43.3554
0.7924,-2.918,0,-0.2434,-44.3509,-0.0238,-0.3259,-0.6286,-44.0707,-43.9096
1.2559,-4.6155,0,-0.3857,-43.4296,-0.0377,-0.5165,-0.9962,-44.2648,-44.2899
1.9905,-7.2711,0,-0.6113,-43.0173,-0.0597,-0.8186,-1.5788,-44.627,-44.5561
3.1548,-11.3611,0,-0.9688,-45.9499,-0.0946,-1.2973,-2.5019,-44.6872,-44.7143
5,-17.4039,0,-1.5351,-45.338,-0.15,-2.0558,-3.9638,-44.8294,-44.8167
7.9245,-25.5475,0,-2.4316,-41.6509,-0.2377,-3.2575,-6.2763,-44.8739,-44.8786
12.5594,-34.7158,0,-3.8483,-45.0956,-0.3768,-5.1596,-9.9239,-44.9052,-44.9142
19.9054,-42.3114,0,-6.0775,-44.294,-0.5971,-8.1646,-15.6346,-44.9257,-44.9315
31.5479,-46.0527,0,-9.5473,-42.0864,-0.9464,-12.8889,-24.3989,-44.9219,-44.9342
50,-46.2088,0,-14.8091,-44.773,-1.4999,-20.2214,-37.0834,-44.9028,-44.9229
79.2447,-45.243,0,-22.3221,-42.8338,-2.377,-31.2006,-51.7287,-44.8646,-44.8951
125.5943,-44.9259,0,-31.779,-44.2953,-3.7664,-45.7869,-51.4383,-44.7977,-44.8448
199.0536,-44.9948,0,-41.2563,-43.9309,-5.9661,-55.5251,-42.8769,-44.6884,-44.7615
315.4787,-45.0024,0,-47.773,-40.0941,-9.4426,-42.0704,-45.7885,-44.5169,-44.6275
500,-44.9984,0,-49.4763,-46.7382,-14.9129,-45.7894,-45.4101,-44.2488,-44.4147
792.4466,-44.9987,0,-47.0409,-40.6294,-23.4185,-44.7061,-45.1586,-43.8347,-44.0788
1255.9432,-44.9992,0,-43.4801,-43.4682,-36.173,-44.2611,-44.6325,-43.2026,-43.5506
1990.5359,-44.9995,0,-42.0453,-42.1832,-52.5808,-43.3625,-43.6428,-42.2485,-42.7239
3154.7867,-44.9997,0,-42.5106,-44.5038,-50.439,-41.8897,-41.9327,-40.8327,-41.434
5000,-44.9998,0,-40.3249,-40.7659,-34.9597,-39.6054,-39.193,-38.7769,-39.4418
7924.466,-44.9999,0,-38.0166,-36.4628,-29.5975,-36.2729,-35.177,-35.866,-36.3655
12559.4322,-44.9999,0,-33.6817,-32.1603,-28.4032,-31.7508,-30.1974,-31.8438,-31.8477
19905.3585,-44.9999,0,-27.1168,-27.5544,-21.2166,-26.0521,-25.2573,-26.3196,-26.0377
31547.8672,-45,0,-16.6318,-13.527,-11.6899,-17.9432,-18.9417,-17.9001,-17.9348
50000,-180,0,-180,-180,-180,-180,-180,-180,-180
