freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.0500,45.0177,45.6368,160.8655,2.3322,1.6117,9.0286,16.3717,43.8358,25.5452
0.0792,45.0976,45.0216,149.4526,3.6791,2.5514,13.9730,24.1926,45.1891,34.1835
0.1256,44.8476,44.6564,133.1921,5.7876,4.0381,21.1125,33.6528,44.0631,41.6770
0.1991,44.9538,44.7314,112.6052,9.0117,6.3729,30.1155,42.1703,43.6090,45.1283
0.3155,45.0075,44.6885,88.5242,13.7649,9.9935,39.0763,46.8245,43.2369,44.9749
0.5000,44.9693,44.5022,66.2364,20.2593,15.4310,44.9932,46.8019,42.7385,43.6954
0.7924,44.9650,44.2375,49.7631,28.0603,23.0313,46.1007,44.4274,42.1035,42.9835
1.2559,44.9719,43.8282,40.4664,35.6780,32.1763,43.7632,42.6107,41.3058,42.2713
1.9905,44.9686,43.1636,37.5621,41.3005,40.5046,41.5235,40.7730,40.2790,41.2320
3.1548,44.9685,42.1168,38.7120,43.8118,44.7959,39.8946,38.2997,38.9401,39.7603
5.0000,44.9670,40.4555,40.1090,42.6777,43.1681,37.6455,35.4136,37.1916,37.6997
7.9245,44.9639,37.8236,38.3150,37.5016,37.2412,34.8829,32.5959,34.8813,34.9549
12.5594,44.9592,33.6532,33.4972,33.5974,33.6944,31.5473,30.2872,31.7134,31.5591
19.9054,44.9514,27.0460,27.1018,26.6903,26.6283,26.8560,27.0387,26.9265,26.8491
31.5479,44.9262,16.5798,16.5996,16.3389,16.3251,17.8715,18.5733,17.8434,17.8718
50.0000,180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000
