inputFreq,CFEAmp,CFEPhase,fullAmp,fullPhase,expAmp,expPhase,recAmp,recPhase,shiftAvgAmp1,shiftAvgPhase1,shiftAvgAmp9,shiftAvgPhase9,shiftAvgAmp5,shiftAvgPhase5,shiftAvgAmp3,shiftAvgPhase3,shiftAvgAmp8,shiftAvgPhase8
0.0500,4.5289,0.0225,0,0,0.0000,0.0000,0.0000,0.0000,10.0159,0.0015,5.0448,0.0161,4.1623,0.0312,0.6370,24.0206,1.2962,1.7077
0.0792,4.5289,0.0357,0,0,0.0000,0.0000,0.0000,0.0000,10.0159,0.0023,5.0448,0.0255,4.1623,0.0494,0.8013,27.2164,1.2982,2.6986
0.1256,4.5289,0.0566,0,0,0.0000,0.0000,0.0000,0.0000,10.0159,0.0037,5.0448,0.0404,4.1623,0.0783,0.9590,26.6657,1.3029,4.2616
0.1991,4.5290,0.0898,0,0,0.0000,0.0000,0.0000,0.0000,10.0159,0.0058,5.0448,0.0641,4.1623,0.1241,1.1141,26.6215,1.3145,6.6810
0.3155,4.5290,0.1423,0,0,0.0000,0.0000,0.0000,0.0000,10.0159,0.0092,5.0448,0.1016,4.1623,0.1967,1.2953,26.7761,1.3432,10.3092
0.5000,4.5290,0.2255,0,0,0.0000,0.0000,0.0000,0.0000,10.0159,0.0147,5.0448,0.1610,4.1624,0.3117,1.4977,26.8560,1.4099,15.3327
0.7924,4.5291,0.3573,0,0,0.0000,0.0000,0.0000,0.0000,10.0159,0.0232,5.0449,0.2552,4.1626,0.4940,1.7272,26.8955,1.5527,21.2049
1.2559,4.5294,0.5663,0,0,0.0000,0.0000,0.0000,0.0000,10.0159,0.0368,5.0450,0.4044,4.1630,0.7829,1.9892,26.9230,1.8113,26.0799
1.9905,4.5301,0.8973,0,0,0.0000,0.0000,0.0000,0.0000,10.0159,0.0584,5.0454,0.6409,4.1642,1.2404,2.2881,26.9404,2.1760,28.0319
3.1548,4.5320,1.4214,0,0,0.0000,0.0000,0.0000,0.0000,10.0159,0.0925,5.0463,1.0156,4.1671,1.9645,2.6298,26.9416,2.5702,27.6130
