freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.0500,0.0225,0,0.0000,0.0000,0.0015,0.0161,0.0312,24.0206,1.7077
0.0792,0.0357,0,0.0000,0.0000,0.0023,0.0255,0.0494,27.2164,2.6986
0.1256,0.0566,0,0.0000,0.0000,0.0037,0.0404,0.0783,26.6657,4.2616
0.1991,0.0898,0,0.0000,0.0000,0.0058,0.0641,0.1241,26.6215,6.6810
0.3155,0.1423,0,0.0000,0.0000,0.0092,0.1016,0.1967,26.7761,10.3092
0.5000,0.2255,0,0.0000,0.0000,0.0147,0.1610,0.3117,26.8560,15.3327
0.7924,0.3573,0,0.0000,0.0000,0.0232,0.2552,0.4940,26.8955,21.2049
1.2559,0.5663,0,0.0000,0.0000,0.0368,0.4044,0.7829,26.9230,26.0799
1.9905,0.8973,0,0.0000,0.0000,0.0584,0.6409,1.2404,26.9404,28.0319
3.1548,1.4214,0,0.0000,0.0000,0.0925,1.0156,1.9645,26.9416,27.6130
5.0000,2.2500,0,0.0000,0.0000,0.1466,1.6088,3.1076,26.9348,27.0192
7.9245,3.5549,0,0.0000,0.0000,0.2323,2.5465,4.9018,26.9230,26.9413
12.5594,5.5907,0,0.0000,0.0000,0.3682,4.0228,7.6779,26.9000,26.9506
19.9054,8.6936,0,0.0000,0.0000,0.5834,6.3243,11.8246,26.8668,26.9382
31.5479,13.1669,0,0.0000,0.0000,0.9245,9.8255,17.5268,26.8209,26.9155
50.0000,18.8533,0,0.0000,0.0000,1.4646,14.8494,24.0538,26.7566,26.8822
79.2447,24.4313,0,0.0000,0.0000,2.3188,21.1565,29.0780,26.6688,26.8340
125.5943,27.7269,0,0.0000,0.0000,3.6649,27.0855,30.0230,26.5498,26.7644
199.0536,28.0763,0,0.0000,0.0000,5.7690,29.7724,27.9808,26.3885,26.6640
315.4787,27.2723,0,0.0000,0.0000,8.9903,28.2636,27.6294,26.1710,26.5188
500.0000,26.9438,0,0.0000,0.0000,13.6815,26.7268,27.5113,25.8793,26.3086
792.4466,26.9898,0,0.0000,0.0000,19.7620,26.7828,26.9846,25.4898,26.0035
1255.9432,27.0017,0,0.0000,0.0000,25.8350,26.1381,26.1766,24.9728,25.5604
1990.5359,26.9998,0,0.0000,0.0000,28.8721,25.2961,24.9929,24.2917,24.9172
3154.7867,27.0000,0,0.0000,0.0000,26.5911,24.1413,23.3843,23.4011,23.9898
5000.0000,27.0000,0,0.0000,0.0000,23.0840,22.6433,21.3922,22.2453,22.6680
7924.4660,27.0000,0,0.0000,0.0000,23.3049,20.8049,19.3042,20.7516,20.8683
12559.4322,27.0000,0,0.0000,0.0000,20.6101,18.6642,17.6269,18.7917,18.6797
19905.3585,27.0000,0,0.0000,0.0000,16.0518,15.9648,15.9614,16.0388,15.9580
31547.8672,27.0000,0,0.0000,0.0000,9.8995,10.9326,11.5086,10.9071,10.9327
50000.0000,180.0000,0,0.0000,0.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000
