0.5436	0.211	2	0.0002
3.1	0.2	0.136273	0.0637274	0.304567
3.1002	0.2	0.136349	0.0636509	0.30519
3.1004	0.2	0.136425	0.0635746	0.305814
3.1006	0.2	0.136501	0.0634986	0.306436
3.1008	0.2	0.136577	0.0634227	0.307058
3.101	0.2	0.136653	0.0633471	0.307679
3.1012	0.2	0.136728	0.0632717	0.308299
3.1014	0.2	0.136803	0.0631965	0.308918
3.1016	0.2	0.136878	0.0631216	0.309537
3.1018	0.2	0.136953	0.0630468	0.310155
3.102	0.2	0.137028	0.0629723	0.310773
3.1022	0.2	0.137102	0.062898	0.311389
3.1024	0.2	0.137176	0.0628239	0.312005
3.1026	0.2	0.13725	0.06275	0.31262
3.1028	0.2	0.137324	0.0626764	0.313235
3.103	0.2	0.137397	0.0626029	0.313848
3.1032	0.2	0.13747	0.0625297	0.314461
3.1034	0.2	0.137543	0.0624566	0.315074
3.1036	0.2	0.137616	0.0623838	0.315685
3.1038	0.2	0.137689	0.0623112	0.316296
3.104	0.2	0.137761	0.0622388	0.316907
3.1042	0.2	0.137833	0.0621666	0.317516
3.1044	0.2	0.137905	0.0620946	0.318125
3.1046	0.2	0.137977	0.0620228	0.318733
3.1048	0.2	0.138049	0.0619512	0.31934
3.105	0.2	0.13812	0.0618799	0.319947
3.1052	0.2	0.138191	0.0618087	0.320553
3.1054	0.2	0.138262	0.0617377	0.321159
3.1056	0.2	0.138333	0.0616669	0.321763
3.1058	0.2	0.138404	0.0615963	0.322367
3.106	0.2	0.138474	0.061526	0.322971
3.1062	0.2	0.138544	0.0614558	0.323573
3.1064	0.2	0.138614	0.0613858	0.324175
3.1066	0.2	0.138684	0.061316	0.324776
3.1068	0.2	0.138754	0.0612464	0.325377
3.107	0.2	0.138823	0.061177	0.325977
3.1072	0.2	0.138892	0.0611078	0.326576
3.1074	0.2	0.138961	0.0610388	0.327175
3.1076	0.2	0.13903	0.06097	0.327773
3.1078	0.2	0.139099	0.0609013	0.32837
3.108	0.2	0.139167	0.0608329	0.328967
3.1082	0.2	0.139235	0.0607647	0.329563
3.1084	0.2	0.139303	0.0606966	0.330158
3.1086	0.2	0.139371	0.0606287	0.330753
3.1088	0.2	0.139439	0.060561	0.331347
3.109	0.2	0.139506	0.0604935	0.33194
3.1092	0.2	0.139574	0.0604262	0.332533
3.1094	0.2	0.139641	0.0603591	0.333125
3.1096	0.2	0.139708	0.0602921	0.333716
3.1098	0.2	0.139775	0.0602254	0.334307
3.11	0.2	0.139841	0.0601588	0.334897
3.1102	0.2	0.139908	0.0600924	0.335487
3.1104	0.2	0.139974	0.0600261	0.336076
3.1106	0.2	0.14004	0.0599601	0.336664
3.1108	0.2	0.140106	0.0598942	0.337251
3.111	0.2	0.140171	0.0598286	0.337838
3.1112	0.2	0.140237	0.059763	0.338425
3.1114	0.2	0.140302	0.0596977	0.33901
3.1116	0.2	0.140367	0.0596326	0.339596
3.1118	0.2	0.140432	0.0595676	0.34018
3.112	0.2	0.140497	0.0595028	0.340764
3.1122	0.2	0.140562	0.0594381	0.341347
3.1124	0.2	0.140626	0.0593737	0.34193
3.1126	0.2	0.140691	0.0593094	0.342512
3.1128	0.2	0.140755	0.0592453	0.343093
3.113	0.2	0.140819	0.0591813	0.343674
3.1132	0.2	0.140882	0.0591176	0.344254
3.1134	0.2	0.140946	0.059054	0.344833
3.1136	0.2	0.141009	0.0589905	0.345412
3.1138	0.2	0.141073	0.0589273	0.345991
3.114	0.2	0.141136	0.0588642	0.346568
3.1142	0.2	0.141199	0.0588012	0.347146
3.1144	0.2	0.141262	0.0587385	0.347722
3.1146	0.2	0.141324	0.0586759	0.348298
3.1148	0.2	0.141387	0.0586134	0.348873
3.115	0.2	0.141449	0.0585512	0.349448
