Time,VIN,VF,Current
0.00016,0.2,0.00206064,0.00145455
0.00032,0.2,0.00504151,0.00276796
0.00048,0.2,0.00860912,0.003962
0.00064,0.2,0.0125731,0.00504252
0.0008,0.2,0.0168053,0.00601599
0.00096,0.2,0.0212122,0.00688899
0.00112,0.2,0.0257227,0.00766816
0.00128,0.2,0.0302811,0.00835997
0.00144,0.2,0.0348436,0.00897077
0.0016,0.2,0.0393753,0.00950664
0.00176,0.2,0.0438483,0.00997343
0.00192,0.2,0.0482408,0.0103767
0.00208,0.2,0.0525352,0.0107217
0.00224,0.2,0.0567183,0.0110135
0.0024,0.2,0.0607798,0.0112567
0.00256,0.2,0.0647122,0.0114558
0.00272,0.2,0.0685104,0.0116148
0.00288,0.2,0.0721709,0.0117375
0.00304,0.2,0.0756922,0.0118277
0.0032,0.2,0.0790738,0.0118885
0.00336,0.2,0.0823163,0.0119231
0.00352,0.2,0.0854214,0.0119342
0.00368,0.2,0.0883915,0.0119245
0.00384,0.2,0.0912294,0.0118964
0.004,0.2,0.0939386,0.0118521
0.00416,0.2,0.096523,0.0117936
0.00432,0.2,0.0989865,0.0117228
0.00448,0.2,0.101334,0.0116413
0.00464,0.2,0.103569,0.0115506
0.0048,0.2,0.105696,0.0114523
0.00496,0.2,0.107721,0.0113474
0.00512,0.2,0.109647,0.0112372
0.00528,0.2,0.111479,0.0111227
0.00544,0.2,0.113222,0.0110047
0.0056,0.2,0.11488,0.0108842
0.00576,0.2,0.116457,0.0107617
0.00592,0.2,0.117958,0.0106381
0.00608,0.2,0.119387,0.0105139
0.00624,0.2,0.120747,0.0103895
0.0064,0.2,0.122042,0.0102654
0.00656,0.2,0.123276,0.010142
0.00672,0.2,0.124452,0.0100197
0.00688,0.2,0.125574,0.00989871
0.00704,0.2,0.126645,0.0097793
0.0072,0.2,0.127667,0.00966168
0.00736,0.2,0.128644,0.00954602
0.00752,0.2,0.129579,0.00943248
0.00768,0.2,0.130473,0.00932116
0.00784,0.2,0.13133,0.00921217
0.008,0.2,0.132151,0.00910556
0.00816,0.2,0.132939,0.00900139
0.00832,0.2,0.133696,0.00889969
0.00848,0.2,0.134424,0.00880048
0.00864,0.2,0.135124,0.00870376
0.0088,0.2,0.135799,0.00860953
0.00896,0.2,0.136449,0.00851776
0.00912,0.2,0.137077,0.00842844
0.00928,0.2,0.137683,0.00834152
0.00944,0.2,0.13827,0.00825697
0.0096,0.2,0.138837,0.00817474
0.00976,0.2,0.139387,0.00809478
0.00992,0.2,0.13992,0.00801704
0.01008,0.2,0.140438,0.00794146
0.01024,0.2,0.140941,0.00786799
0.0104,0.2,0.14143,0.00779655
0.01056,0.2,0.141907,0.00772711
0.01072,0.2,0.14237,0.00765958
0.01088,0.2,0.142823,0.00759392
0.01104,0.2,0.143264,0.00753005
0.0112,0.2,0.143695,0.00746792
0.01136,0.2,0.144116,0.00740747
0.01152,0.2,0.144528,0.00734864
0.01168,0.2,0.144931,0.00729136
0.01184,0.2,0.145326,0.00723559
0.012,0.2,0.145713,0.00718127
0.01216,0.2,0.146092,0.00712834
0.01232,0.2,0.146464,0.00707675
0.01248,0.2,0.146829,0.00702645
0.01264,0.2,0.147188,0.00697738
0.0128,0.2,0.14754,0.00692951
0.01296,0.2,0.147887,0.00688278
0.01312,0.2,0.148227,0.00683716
0.01328,0.2,0.148563,0.00679259
0.01344,0.2,0.148892,0.00674904
0.0136,0.2,0.149217,0.00670646
0.01376,0.2,0.149537,0.00666483
0.01392,0.2,0.149852,0.0066241
0.01408,0.2,0.150162,0.00658423
0.01424,0.2,0.150468,0.0065452
0.0144,0.2,0.15077,0.00650698
0.01456,0.2,0.151068,0.00646953
0.01472,0.2,0.151361,0.00643282
0.01488,0.2,0.151651,0.00639682
0.01504,0.2,0.151937,0.00636152
0.0152,0.2,0.152219,0.00632688
0.01536,0.2,0.152498,0.00629288
0.01552,0.2,0.152773,0.0062595
0.01568,0.2,0.153044,0.00622672
0.01584,0.2,0.153313,0.00619451
0.016,0.2,0.153578,0.00616285
0.01616,0.2,0.153839,0.00613173
0.01632,0.2,0.154098,0.00610113
0.01648,0.2,0.154354,0.00607103
0.01664,0.2,0.154607,0.00604141
0.0168,0.2,0.154857,0.00601226
0.01696,0.2,0.155104,0.00598357
0.01712,0.2,0.155348,0.00595532
0.01728,0.2,0.155589,0.00592749
0.01744,0.2,0.155828,0.00590008
0.0176,0.2,0.156064,0.00587306
0.01776,0.2,0.156298,0.00584644
0.01792,0.2,0.156529,0.0058202
0.01808,0.2,0.156757,0.00579432
0.01824,0.2,0.156983,0.0057688
0.0184,0.2,0.157207,0.00574363
0.01856,0.2,0.157428,0.00571879
0.01872,0.2,0.157647,0.00569429
0.01888,0.2,0.157864,0.00567011
0.01904,0.2,0.158078,0.00564624
0.0192,0.2,0.15829,0.00562267
0.01936,0.2,0.1585,0.0055994
0.01952,0.2,0.158708,0.00557643
0.01968,0.2,0.158914,0.00555373
0.01984,0.2,0.159118,0.00553131
0.02,0.2,0.159319,0.00550917
0.02016,0.2,0.159519,0.00548729
0.02032,0.2,0.159717,0.00546566
0.02048,0.2,0.159912,0.00544429
0.02064,0.2,0.160106,0.00542317
0.0208,0.2,0.160298,0.00540228
0.02096,0.2,0.160488,0.00538164
0.02112,0.2,0.160676,0.00536122
0.02128,0.2,0.160863,0.00534104
0.02144,0.2,0.161047,0.00532108
0.0216,0.2,0.16123,0.00530133
0.02176,0.2,0.161411,0.0052818
0.02192,0.2,0.161591,0.00526248
0.02208,0.2,0.161769,0.00524336
0.02224,0.2,0.161945,0.00522445
0.0224,0.2,0.16212,0.00520574
0.02256,0.2,0.162293,0.00518722
0.02272,0.2,0.162464,0.00516889
0.02288,0.2,0.162634,0.00515075
0.02304,0.2,0.162802,0.00513279
0.0232,0.2,0.162969,0.00511501
0.02336,0.2,0.163134,0.00509741
0.02352,0.2,0.163298,0.00507999
0.02368,0.2,0.16346,0.00506274
0.02384,0.2,0.163621,0.00504566
0.024,0.2,0.163781,0.00502874
0.02416,0.2,0.163939,0.00501199
0.02432,0.2,0.164096,0.00499539
0.02448,0.2,0.164252,0.00497896
0.02464,0.2,0.164406,0.00496268
0.0248,0.2,0.164559,0.00494655
0.02496,0.2,0.16471,0.00493058
0.02512,0.2,0.164861,0.00491475
0.02528,0.2,0.16501,0.00489907
0.02544,0.2,0.165157,0.00488353
0.0256,0.2,0.165304,0.00486814
0.02576,0.2,0.165449,0.00485288
0.02592,0.2,0.165594,0.00483776
0.02608,0.2,0.165737,0.00482277
0.02624,0.2,0.165878,0.00480792
0.0264,0.2,0.166019,0.0047932
0.02656,0.2,0.166159,0.00477861
0.02672,0.2,0.166297,0.00476414
0.02688,0.2,0.166435,0.0047498
0.02704,0.2,0.166571,0.00473559
0.0272,0.2,0.166706,0.00472149
0.02736,0.2,0.166841,0.00470752
0.02752,0.2,0.166974,0.00469366
0.02768,0.2,0.167106,0.00467992
0.02784,0.2,0.167237,0.0046663
0.028,0.2,0.167367,0.00465279
0.02816,0.2,0.167496,0.00463939
0.02832,0.2,0.167624,0.0046261
0.02848,0.2,0.167752,0.00461292
0.02864,0.2,0.167878,0.00459985
0.0288,0.2,0.168003,0.00458688
0.02896,0.2,0.168127,0.00457402
0.02912,0.2,0.168251,0.00456126
0.02928,0.2,0.168373,0.0045486
0.02944,0.2,0.168495,0.00453604
0.0296,0.2,0.168616,0.00452358
0.02976,0.2,0.168736,0.00451122
0.02992,0.2,0.168855,0.00449895
0.03008,0.2,0.168973,0.00448678
0.03024,0.2,0.16909,0.00447471
0.0304,0.2,0.169207,0.00446272
0.03056,0.2,0.169322,0.00445083
0.03072,0.2,0.169437,0.00443903
0.03088,0.2,0.169551,0.00442732
0.03104,0.2,0.169665,0.00441569
0.0312,0.2,0.169777,0.00440415
0.03136,0.2,0.169889,0.0043927
0.03152,0.2,0.17,0.00438133
0.03168,0.2,0.17011,0.00437005
0.03184,0.2,0.170219,0.00435885
0.032,0.2,0.170328,0.00434773
0.03216,0.2,0.170436,0.00433669
0.03232,0.2,0.170543,0.00432573
0.03248,0.2,0.17065,0.00431485
0.03264,0.2,0.170755,0.00430405
0.0328,0.2,0.170861,0.00429332
0.03296,0.2,0.170965,0.00428268
0.03312,0.2,0.171069,0.0042721
0.03328,0.2,0.171172,0.0042616
0.03344,0.2,0.171274,0.00425117
0.0336,0.2,0.171376,0.00424082
0.03376,0.2,0.171477,0.00423054
0.03392,0.2,0.171577,0.00422033
0.03408,0.2,0.171677,0.00421018
0.03424,0.2,0.171776,0.00420011
0.0344,0.2,0.171875,0.00419011
0.03456,0.2,0.171972,0.00418017
0.03472,0.2,0.17207,0.0041703
