Time,R,U,Theta,Phi,ThetaDot,PhiDot,Total Angle,Error,Digital Control
0.0005,0.2,0,0,0,0,0,0,0,0
0.001,0.2,0.504757,1.13298e-005,-1.13296e-005,0.0221094,-0.0221207,1.26189e-010,0.2,0
0.0015,0.2,0.506422,3.32146e-005,-3.32184e-005,0.043751,-0.0437833,-3.76155e-009,0.2,0.504757
0.002,0.2,0.507546,6.56844e-005,-6.57002e-005,0.0649087,-0.0649699,-1.58301e-008,0.2,0.504757
0.0025,0.2,0.508426,0.000108496,-0.000108535,0.0855796,-0.085676,-3.92823e-008,0.2,0.504757
0.003,0.2,0.509163,0.000161406,-0.000161483,0.105766,-0.105902,-7.64701e-008,0.2,0.510624
0.0035,0.2,0.509805,0.000224175,-0.000224304,0.125471,-0.125649,-1.28893e-007,0.2,0.510624
0.004,0.2,0.510377,0.000296564,-0.000296761,0.1447,-0.144922,-1.97216e-007,0.2,0.510624
0.0045,0.2,0.510896,0.000378339,-0.00037862,0.16346,-0.163724,-2.81287e-007,0.2,0.525605
0.005,0.2,0.511373,0.000469266,-0.000469647,0.181755,-0.18206,-3.80159e-007,0.2,0.525605
0.0055,0.2,0.511815,0.000569119,-0.000569611,0.199593,-0.199935,-4.92102e-007,0.2,0.525605
0.006,0.2,0.512229,0.00067767,-0.000678284,0.216981,-0.217354,-6.14629e-007,0.2,0.515648
0.0065,0.2,0.512618,0.000794697,-0.000795442,0.233924,-0.234322,-7.44507e-007,0.200001,0.515648
0.007,0.2,0.512987,0.000919983,-0.000920861,0.25043,-0.250844,-8.77779e-007,0.200001,0.515648
0.0075,0.2,0.513337,0.00105331,-0.00105432,0.266506,-0.266927,-1.00978e-006,0.200001,0.506075
0.008,0.2,0.51367,0.00119447,-0.00119561,0.282158,-0.282576,-1.13516e-006,0.200001,0.506075
0.0085,0.2,0.513989,0.00134325,-0.0013445,0.297394,-0.297795,-1.24789e-006,0.200001,0.506075
0.009,0.2,0.514296,0.00149945,-0.00150079,0.31222,-0.312591,-1.3413e-006,0.200001,0.51071
0.0095,0.2,0.51459,0.00166287,-0.00166428,0.326643,-0.32697,-1.40805e-006,0.200001,0.51071
0.01,0.2,0.514874,0.0018333,-0.00183474,0.340669,-0.340935,-1.44022e-006,0.200001,0.51071
0.0105,0.2,0.515148,0.00201056,-0.00201198,0.354306,-0.354494,-1.42927e-006,0.200001,0.512977
0.011,0.2,0.515413,0.00219444,-0.00219581,0.36756,-0.367652,-1.36605e-006,0.200001,0.512977
0.0115,0.2,0.51567,0.00238477,-0.00238601,0.380438,-0.380413,-1.24088e-006,0.200001,0.512977
0.012,0.2,0.515919,0.00258136,-0.0025824,0.392946,-0.392784,-1.04348e-006,0.200001,0.512924
0.0125,0.2,0.51616,0.00278402,-0.00278478,0.40509,-0.404769,-7.63062e-007,0.200001,0.512924
0.013,0.2,0.516395,0.00299258,-0.00299297,0.416877,-0.416375,-3.88302e-007,0.200001,0.512924
0.0135,0.2,0.516624,0.00320686,-0.00320677,0.428314,-0.427606,9.26331e-008,0.2,0.513179
0.014,0.2,0.516846,0.00342669,-0.003426,0.439406,-0.438468,6.9207e-007,0.2,0.513179
0.0145,0.2,0.517063,0.0036519,-0.00365048,0.450159,-0.448965,1.42281e-006,0.199999,0.513179
0.015,0.2,0.517275,0.00388232,-0.00388003,0.460581,-0.459104,2.29814e-006,0.199999,0.512813
0.0155,0.2,0.517481,0.0041178,-0.00411447,0.470676,-0.468888,3.33175e-006,0.199998,0.512813
0.016,0.2,0.517682,0.00435817,-0.00435363,0.480451,-0.478324,4.53782e-006,0.199997,0.512813
0.0165,0.2,0.517879,0.00460326,-0.00459733,0.489912,-0.487417,5.93092e-006,0.199995,0.512688
0.017,0.2,0.518071,0.00485294,-0.00484542,0.499064,-0.49617,7.52604e-006,0.199994,0.512688
0.0175,0.2,0.518259,0.00510705,-0.00509771,0.507913,-0.50459,9.33855e-006,0.199992,0.512688
