Time,R,U,Theta,Phi,ThetaDot,PhiDot,Total Angle,Error,Digital Control
0.0005,0.2,0,0,0,0,0,0,0,0
0.001,0.2,0.111892,2.51153e-006,-2.5115e-006,0.0049011,-0.0049036,2.7973e-011,0.2,0
0.0015,0.2,0.116054,7.448e-006,-7.44883e-006,0.00986467,-0.00987191,-8.32893e-010,0.2,0.120888
0.002,0.2,0.118864,1.48674e-005,-1.48709e-005,0.014829,-0.0148429,-3.53678e-009,0.2,0.120888
0.0025,0.2,0.121065,2.47567e-005,-2.47656e-005,0.0197666,-0.0197886,-8.84536e-009,0.2,0.120888
0.003,0.2,0.122908,3.70948e-005,-3.71121e-005,0.0246615,-0.0246929,-1.7341e-008,0.2,0.120888
0.0035,0.2,0.124511,5.18551e-005,-5.18845e-005,0.0295034,-0.0295448,-2.94197e-008,0.2,0.120888
0.004,0.2,0.125941,6.90075e-005,-6.90528e-005,0.0342851,-0.0343369,-4.52897e-008,0.2,0.120888
0.0045,0.2,0.127238,8.85195e-005,-8.85845e-005,0.0390014,-0.0390636,-6.49721e-008,0.2,0.120888
0.005,0.2,0.12843,0.000110356,-0.000110445,0.0436484,-0.0437207,-8.83013e-008,0.2,0.120888
0.0055,0.2,0.129535,0.000134482,-0.000134597,0.0482231,-0.0483048,-1.14927e-007,0.2,0.120888
0.006,0.2,0.130569,0.000160859,-0.000161003,0.0527235,-0.0528133,-1.44316e-007,0.2,0.120888
0.0065,0.2,0.131542,0.000189449,-0.000189625,0.0571477,-0.0572443,-1.75752e-007,0.2,0.120888
0.007,0.2,0.132462,0.000220214,-0.000220422,0.0614946,-0.061596,-2.08343e-007,0.2,0.132618
0.0075,0.2,0.133336,0.000253115,-0.000253356,0.0657631,-0.0658673,-2.41019e-007,0.2,0.132618
0.008,0.2,0.134169,0.000288111,-0.000288384,0.0699528,-0.0700572,-2.72536e-007,0.2,0.132618
0.0085,0.2,0.134967,0.000325164,-0.000325466,0.0740631,-0.0741648,-3.01481e-007,0.2,0.132618
0.009,0.2,0.135732,0.000364234,-0.00036456,0.0780938,-0.0781896,-3.26272e-007,0.2,0.132618
0.0095,0.2,0.136467,0.00040528,-0.000405625,0.0820449,-0.0821313,-3.4516e-007,0.2,0.132618
0.01,0.2,0.137176,0.000448263,-0.00044862,0.0859165,-0.0859895,-3.56237e-007,0.2,0.132618
