inputFreq,CFEAmp,CFEPhase,fullAmp,fullPhase,expAmp,expPhase,recAmp,recPhase,shiftAvgAmp1,shiftAvgPhase1,shiftAvgAmp9,shiftAvgPhase9,shiftAvgAmp5,shiftAvgPhase5,shiftAvgAmp3,shiftAvgPhase3,shiftAvgAmp8,shiftAvgPhase8
0.0500,0.2208,-0.0225,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-0.0008,0.1702,-0.0085,0.2063,-0.0162,1.6043,-14.5315,0.6627,-0.9061
0.0792,0.2208,-0.0357,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-0.0013,0.1702,-0.0134,0.2063,-0.0257,1.3634,-22.8586,0.6624,-1.4336
0.1256,0.2208,-0.0566,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-0.0020,0.1702,-0.0213,0.2063,-0.0407,1.0891,-25.0215,0.6618,-2.2727
0.1991,0.2208,-0.0897,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-0.0031,0.1702,-0.0337,0.2063,-0.0645,0.9253,-24.9332,0.6603,-3.5934
0.3155,0.2208,-0.1422,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-0.0050,0.1702,-0.0535,0.2063,-0.1023,0.7964,-25.7261,0.6563,-5.6639
0.5000,0.2208,-0.2254,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-0.0079,0.1702,-0.0848,0.2063,-0.1621,0.6898,-26.1956,0.6468,-8.8378
0.7924,0.2208,-0.3572,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-0.0125,0.1702,-0.1343,0.2063,-0.2569,0.5983,-26.4342,0.6247,-13.4979
1.2559,0.2208,-0.5661,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-0.0198,0.1702,-0.2129,0.2063,-0.4071,0.5195,-26.6511,0.5785,-19.6062
1.9905,0.2207,-0.8971,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-0.0314,0.1702,-0.3374,0.2063,-0.6452,0.4516,-26.7893,0.5009,-25.6700
3.1548,0.2207,-1.4210,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-0.0498,0.1702,-0.5348,0.2062,-1.0225,0.3929,-26.8489,0.4112,-28.5051
5.0000,0.2204,-2.2494,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-0.0789,0.1702,-0.8475,0.2062,-1.6202,0.3419,-26.9060,0.3449,-27.6708
7.9245,0.2199,-3.5540,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-0.1251,0.1702,-1.3430,0.2060,-2.5664,0.2977,-26.9357,0.3007,-26.9400
12.5594,0.2185,-5.5893,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-0.1982,0.1700,-2.1276,0.2055,-4.0613,0.2592,-26.9464,0.2626,-26.9291
19.9054,0.2152,-8.6915,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-0.3142,0.1698,-3.3686,0.2042,-6.4124,0.2257,-26.9519,0.2287,-26.9603
31.5479,0.2078,-13.1639,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-0.4980,0.1691,-5.3252,0.2012,-10.0660,0.1965,-26.9457,0.1991,-26.9597
50.0000,0.1928,-18.8495,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-0.7892,0.1673,-8.3850,0.1939,-15.5666,0.1712,-26.9269,0.1734,-26.9496
79.2447,0.1691,-24.4273,0,0,0.0000,0.0000,0.0000,0.0000,0.0861,-1.2506,0.1631,-13.0705,0.1774,-23.1302,0.1491,-26.8953,0.1510,-26.9291
125.5943,0.1417,-27.7238,0,0,0.0000,0.0000,0.0000,0.0000,0.0860,-1.9815,0.1531,-19.8411,0.1465,-30.6790,0.1299,-26.8426,0.1316,-26.8937
199.0536,0.1186,-28.0743,0,0,0.0000,0.0000,0.0000,0.0000,0.0859,-3.1384,0.1326,-27.9738,0.1122,-30.2847,0.1131,-26.7594,0.1146,-26.8362
315.4787,0.1021,-27.2710,0,0,0.0000,0.0000,0.0000,0.0000,0.0856,-4.9654,0.1022,-31.8195,0.1003,-26.4748,0.0986,-26.6318,0.0998,-26.7448
500.0000,0.0892,-26.9430,0,0,0.0000,0.0000,0.0000,0.0000,0.0848,-7.8353,0.0853,-26.3773,0.0873,-27.5776,0.0859,-26.4374,0.0869,-26.6011
792.4466,0.0778,-26.9893,0,0,0.0000,0.0000,0.0000,0.0000,0.0830,-12.2797,0.0769,-26.9820,0.0756,-27.2538,0.0749,-26.1446,0.0757,-26.3764
1255.9432,0.0677,-27.0014,0,0,0.0000,0.0000,0.0000,0.0000,0.0785,-18.8925,0.0662,-26.5651,0.0654,-26.8568,0.0653,-25.7104,0.0660,-26.0267
1990.5359,0.0590,-26.9996,0,0,0.0000,0.0000,0.0000,0.0000,0.0685,-27.4932,0.0576,-25.9497,0.0567,-26.1123,0.0571,-25.0754,0.0576,-25.4853
3154.7867,0.0513,-26.9998,0,0,0.0000,0.0000,0.0000,0.0000,0.0510,-32.3987,0.0501,-24.9484,0.0492,-24.8702,0.0500,-24.1652,0.0502,-24.6519
5000.0000,0.0446,-26.9999,0,0,0.0000,0.0000,0.0000,0.0000,0.0423,-19.9848,0.0438,-23.4581,0.0430,-22.9799,0.0439,-22.8926,0.0439,-23.3837
