freq,CFEAmp,fullAmp,expAmp,recAmp,shiftAvgAmp1,shiftAvgAmp9,shiftAvgAmp5,shiftAvgAmp3,shiftAvgAmp8
0.0500,0.0872,0,0.0000,0.0000,0.0159,0.0493,0.0679,2.1457,0.4747
0.0792,0.0872,0,0.0000,0.0000,0.0159,0.0493,0.0679,1.7140,0.4744
0.1256,0.0872,0,0.0000,0.0000,0.0159,0.0493,0.0679,1.1756,0.4739
0.1991,0.0872,0,0.0000,0.0000,0.0159,0.0493,0.0679,0.8833,0.4725
0.3155,0.0872,0,0.0000,0.0000,0.0159,0.0493,0.0679,0.6910,0.4690
0.5000,0.0872,0,0.0000,0.0000,0.0159,0.0493,0.0679,0.5460,0.4604
0.7924,0.0872,0,0.0000,0.0000,0.0159,0.0493,0.0679,0.4313,0.4404
1.2559,0.0872,0,0.0000,0.0000,0.0159,0.0493,0.0679,0.3415,0.3983
1.9905,0.0871,0,0.0000,0.0000,0.0159,0.0493,0.0679,0.2706,0.3257
3.1548,0.0871,0,0.0000,0.0000,0.0159,0.0493,0.0678,0.2146,0.2380
5.0000,0.0868,0,0.0000,0.0000,0.0159,0.0493,0.0678,0.1703,0.1729
7.9245,0.0863,0,0.0000,0.0000,0.0159,0.0493,0.0677,0.1352,0.1363
12.5594,0.0849,0,0.0000,0.0000,0.0159,0.0492,0.0675,0.1073,0.1090
19.9054,0.0817,0,0.0000,0.0000,0.0159,0.0491,0.0671,0.0852,0.0866
31.5479,0.0752,0,0.0000,0.0000,0.0159,0.0489,0.0659,0.0677,0.0688
50.0000,0.0642,0,0.0000,0.0000,0.0159,0.0483,0.0630,0.0538,0.0546
79.2447,0.0505,0,0.0000,0.0000,0.0159,0.0468,0.0564,0.0427,0.0434
125.5943,0.0378,0,0.0000,0.0000,0.0158,0.0433,0.0434,0.0339,0.0345
199.0536,0.0285,0,0.0000,0.0000,0.0158,0.0359,0.0268,0.0270,0.0274
315.4787,0.0223,0,0.0000,0.0000,0.0158,0.0238,0.0216,0.0214,0.0217
500.0000,0.0178,0,0.0000,0.0000,0.0156,0.0161,0.0175,0.0170,0.0173
792.4466,0.0142,0,0.0000,0.0000,0.0152,0.0141,0.0137,0.0135,0.0137
1255.9432,0.0113,0,0.0000,0.0000,0.0142,0.0110,0.0108,0.0108,0.0109
1990.5359,0.0089,0,0.0000,0.0000,0.0120,0.0087,0.0085,0.0086,0.0087
3154.7867,0.0071,0,0.0000,0.0000,0.0076,0.0069,0.0067,0.0069,0.0069
5000.0000,0.0056,0,0.0000,0.0000,0.0047,0.0055,0.0054,0.0055,0.0055
7924.4660,0.0044,0,0.0000,0.0000,0.0049,0.0044,0.0043,0.0044,0.0044
12559.4322,0.0035,0,0.0000,0.0000,0.0040,0.0036,0.0036,0.0036,0.0036
19905.3585,0.0026,0,0.0000,0.0000,0.0026,0.0030,0.0031,0.0030,0.0030
31547.8672,0.0018,0,0.0000,0.0000,0.0026,0.0025,0.0025,0.0025,0.0025
50000.0000,0.0000,0,0.0000,0.0000,0.0002,0.0002,0.0002,0.0002,0.0002
