freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.0500,-0.0456,0,0.0000,0.0000,-0.0011,-0.0122,-0.0233,-20.7839,-1.3027
0.0792,-0.0722,0,0.0000,0.0000,-0.0018,-0.0193,-0.0369,-35.0102,-2.0612
0.1256,-0.1145,0,0.0000,0.0000,-0.0029,-0.0306,-0.0585,-41.0407,-3.2685
0.1991,-0.1814,0,0.0000,0.0000,-0.0045,-0.0485,-0.0927,-41.0623,-5.1709
0.3155,-0.2875,0,0.0000,0.0000,-0.0072,-0.0769,-0.1470,-42.5988,-8.1630
0.5000,-0.4557,0,0.0000,0.0000,-0.0114,-0.1219,-0.2329,-43.4428,-12.7844
0.7924,-0.7222,0,0.0000,0.0000,-0.0181,-0.1933,-0.3691,-43.8867,-19.7039
1.2559,-1.1445,0,0.0000,0.0000,-0.0286,-0.3063,-0.5850,-44.3032,-29.2282
1.9905,-1.8132,0,0.0000,0.0000,-0.0454,-0.4854,-0.9272,-44.5835,-39.9392
3.1548,-2.8712,0,0.0000,0.0000,-0.0719,-0.7693,-1.4694,-44.6980,-47.0779
5.0000,-4.5403,0,0.0000,0.0000,-0.1140,-1.2193,-2.3285,-44.8213,-46.8377
7.9245,-7.1560,0,0.0000,0.0000,-0.1807,-1.9322,-3.6891,-44.8778,-45.0259
12.5594,-11.1869,0,0.0000,0.0000,-0.2864,-3.0616,-5.8415,-44.9058,-44.8470
19.9054,-17.1570,0,0.0000,0.0000,-0.4538,-4.8494,-9.2370,-44.9250,-44.9272
31.5479,-25.2486,0,0.0000,0.0000,-0.7193,-7.6739,-14.5547,-44.9225,-44.9348
50.0000,-34.4518,0,0.0000,0.0000,-1.1399,-12.1149,-22.7259,-44.9025,-44.9229
79.2447,-42.2105,0,0.0000,0.0000,-1.8066,-19.0103,-34.6181,-44.8648,-44.8950
125.5943,-46.1510,0,0.0000,0.0000,-2.8629,-29.3542,-48.9254,-44.7977,-44.8448
199.0536,-46.3850,0,0.0000,0.0000,-4.5359,-43.2707,-53.0797,-44.6884,-44.7615
315.4787,-45.3336,0,0.0000,0.0000,-7.1831,-54.3642,-43.1051,-44.5169,-44.6275
500.0000,-44.9252,0,0.0000,0.0000,-11.3609,-44.4646,-45.7207,-44.2487,-44.4147
792.4466,-44.9864,0,0.0000,0.0000,-17.9103,-44.5687,-45.1426,-43.8347,-44.0788
1255.9432,-45.0015,0,0.0000,0.0000,-27.9859,-44.2453,-44.6327,-43.2027,-43.5506
1990.5359,-44.9994,0,0.0000,0.0000,-42.5349,-43.3639,-43.6428,-42.2485,-42.7239
3154.7867,-44.9997,0,0.0000,0.0000,-57.0431,-41.8897,-41.9327,-40.8327,-41.4340
5000.0000,-44.9998,0,0.0000,0.0000,-31.3341,-39.6054,-39.1930,-38.7769,-39.4418
7924.4660,-44.9999,0,0.0000,0.0000,-46.5377,-36.2729,-35.1770,-35.8660,-36.3655
12559.4322,-44.9999,0,0.0000,0.0000,-38.0711,-31.7508,-30.1974,-31.8438,-31.8477
19905.3585,-44.9999,0,0.0000,0.0000,-24.5945,-26.0521,-25.2573,-26.3196,-26.0377
31547.8672,-45.0000,0,0.0000,0.0000,-12.4116,-17.9432,-18.9417,-17.9001,-17.9348
50000.0000,-180.0000,0,0.0000,0.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000
