freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.0500,0.0456,0,0.0000,0.0000,0.0034,0.0380,0.0744,44.8729,3.9973
0.0792,0.0723,0,0.0000,0.0000,0.0054,0.0602,0.1180,46.1506,6.3012
0.1256,0.1145,0,0.0000,0.0000,0.0086,0.0955,0.1870,45.1588,9.8864
0.1991,0.1815,0,0.0000,0.0000,0.0136,0.1513,0.2963,45.0456,15.2699
0.3155,0.2877,0,0.0000,0.0000,0.0216,0.2398,0.4697,45.0161,22.7924
0.5000,0.4559,0,0.0000,0.0000,0.0342,0.3800,0.7443,44.9751,31.8478
0.7924,0.7226,0,0.0000,0.0000,0.0542,0.6022,1.1795,44.9397,40.2306
1.2559,1.1450,0,0.0000,0.0000,0.0859,0.9544,1.8688,44.9075,45.2696
1.9905,1.8141,0,0.0000,0.0000,0.1362,1.5122,2.9593,44.8761,46.3232
3.1548,2.8726,0,0.0000,0.0000,0.2158,2.3954,4.6803,44.8382,45.4591
5.0000,4.5426,0,0.0000,0.0000,0.3420,3.7910,7.3784,44.7897,44.9111
7.9245,7.1595,0,0.0000,0.0000,0.5420,5.9870,11.5419,44.7340,44.8585
12.5594,11.1924,0,0.0000,0.0000,0.8590,9.4053,17.7275,44.6628,44.8389
19.9054,17.1649,0,0.0000,0.0000,1.3611,14.5896,26.1719,44.5728,44.7937
31.5479,25.2591,0,0.0000,0.0000,2.1562,21.9924,35.9251,44.4604,44.7331
50.0000,34.4635,0,0.0000,0.0000,3.4132,31.3043,44.3795,44.3177,44.6534
79.2447,42.2209,0,0.0000,0.0000,5.3936,40.5929,48.7400,44.1365,44.5473
125.5943,46.1586,0,0.0000,0.0000,8.4855,46.8285,48.3334,43.9066,44.4044
199.0536,46.3898,0,0.0000,0.0000,13.2081,48.1452,46.0795,43.6135,44.2101
315.4787,45.3365,0,0.0000,0.0000,20.0599,45.8372,45.7419,43.2388,43.9431
500.0000,44.9270,0,0.0000,0.0000,28.9541,44.4621,45.1823,42.7592,43.5723
792.4466,44.9876,0,0.0000,0.0000,38.2908,44.1316,44.1794,42.1427,43.0527
1255.9432,45.0023,0,0.0000,0.0000,45.0137,43.0843,42.7543,41.3476,42.3190
1990.5359,44.9998,0,0.0000,0.0000,46.5516,41.7285,40.8168,40.3193,41.2780
3154.7867,45.0000,0,0.0000,0.0000,42.9462,39.9452,38.3390,38.9834,39.8049
5000.0000,45.0000,0,0.0000,0.0000,39.5151,37.6856,35.4517,37.2362,37.7438
7924.4660,45.0000,0,0.0000,0.0000,38.2413,34.9246,32.6331,34.9232,34.9971
12559.4322,45.0000,0,0.0000,0.0000,33.9727,31.5887,30.3260,31.7567,31.6002
19905.3585,45.0000,0,0.0000,0.0000,26.9427,26.8954,27.0815,26.9657,26.8884
31547.8672,44.9999,0,0.0000,0.0000,16.5764,17.9024,18.6052,17.8742,17.9027
50000.0000,180.0000,0,0.0000,0.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000
