freq,CFEAmp,fullAmp,expAmp,recAmp,shiftAvgAmp1,shiftAvgAmp9,shiftAvgAmp5,shiftAvgAmp3,shiftAvgAmp8
0.0500,11.4670,0,0.0000,0.0000,40.6622,12.9349,9.3869,0.5173,1.3453
0.0792,11.4670,0,0.0000,0.0000,40.6622,12.9349,9.3869,0.7368,1.3525
0.1256,11.4670,0,0.0000,0.0000,40.6622,12.9349,9.3869,0.9663,1.3697
0.1991,11.4671,0,0.0000,0.0000,40.6623,12.9349,9.3870,1.2345,1.4115
0.3155,11.4672,0,0.0000,0.0000,40.6623,12.9350,9.3873,1.5785,1.5111
0.5000,11.4675,0,0.0000,0.0000,40.6623,12.9353,9.3879,2.0044,1.7291
0.7924,11.4683,0,0.0000,0.0000,40.6623,12.9358,9.3895,2.5369,2.1532
1.2559,11.4702,0,0.0000,0.0000,40.6623,12.9373,9.3935,3.2046,2.8506
1.9905,11.4751,0,0.0000,0.0000,40.6624,12.9409,9.4035,4.0422,3.7964
3.1548,11.4872,0,0.0000,0.0000,40.6626,12.9501,9.4286,5.0928,4.8930
5.0000,11.5177,0,0.0000,0.0000,40.6632,12.9730,9.4912,6.4128,6.1573
7.9245,11.5938,0,0.0000,0.0000,40.6647,13.0303,9.6465,8.0704,7.7370
12.5594,11.7823,0,0.0000,0.0000,40.6685,13.1730,10.0247,10.1513,9.7373
19.9054,12.2400,0,0.0000,0.0000,40.6780,13.5240,10.9091,12.7635,12.2535
31.5479,13.3040,0,0.0000,0.0000,40.7017,14.3627,12.8237,16.0401,15.4155
50.0000,15.5766,0,0.0000,0.0000,40.7612,16.2513,16.4987,20.1464,19.3880
79.2447,19.8194,0,0.0000,0.0000,40.9104,20.0907,22.5295,25.2877,24.3765
125.5943,26.4665,0,0.0000,0.0000,41.2824,26.8567,30.6154,31.7152,30.6369
199.0536,35.0600,0,0.0000,0.0000,42.2007,36.7826,39.2229,39.7362,38.4867
315.4787,44.7897,0,0.0000,0.0000,44.4136,48.2046,49.1719,49.7231,48.3181
500.0000,56.1424,0,0.0000,0.0000,49.4813,59.9143,62.5923,62.1212,60.6119
792.4466,70.5491,0,0.0000,0.0000,60.0741,75.5880,79.2589,77.4548,75.9499
1255.9432,88.8559,0,0.0000,0.0000,79.4736,95.1312,99.9096,96.3301,95.0214
1990.5359,111.9068,0,0.0000,0.0000,109.4010,119.1488,124.9588,119.4288,118.6073
3154.7867,141.0218,0,0.0000,0.0000,145.0283,148.2594,154.4081,147.4967,147.5154
5000.0000,177.9797,0,0.0000,0.0000,175.8736,182.9127,187.5391,181.3499,182.4012
7924.4660,225.4896,0,0.0000,0.0000,223.4907,223.5037,223.5631,221.9601,223.4507
12559.4322,288.5834,0,0.0000,0.0000,277.5173,271.3597,265.7837,270.8258,271.4677
19905.3585,380.0023,0,0.0000,0.0000,342.4505,331.2147,324.7692,331.5410,331.2329
31547.8672,552.6941,0,0.0000,0.0000,408.4641,405.7053,404.9443,405.9078,405.6885
50000.0000,1291.4057,0,0.0000,0.0000,33.1516,33.7832,34.1043,33.7680,33.7840
