freq,CFEAmp,fullAmp,expAmp,recAmp,shiftAvgAmp1,shiftAvgAmp9,shiftAvgAmp5,shiftAvgAmp3,shiftAvgAmp8
0.0500,0.2208,0,0.0000,0.0000,0.0861,0.1702,0.2063,1.6043,0.6627
0.0792,0.2208,0,0.0000,0.0000,0.0861,0.1702,0.2063,1.3634,0.6624
0.1256,0.2208,0,0.0000,0.0000,0.0861,0.1702,0.2063,1.0891,0.6618
0.1991,0.2208,0,0.0000,0.0000,0.0861,0.1702,0.2063,0.9253,0.6603
0.3155,0.2208,0,0.0000,0.0000,0.0861,0.1702,0.2063,0.7964,0.6563
0.5000,0.2208,0,0.0000,0.0000,0.0861,0.1702,0.2063,0.6898,0.6468
0.7924,0.2208,0,0.0000,0.0000,0.0861,0.1702,0.2063,0.5983,0.6247
1.2559,0.2208,0,0.0000,0.0000,0.0861,0.1702,0.2063,0.5195,0.5785
1.9905,0.2207,0,0.0000,0.0000,0.0861,0.1702,0.2063,0.4516,0.5009
3.1548,0.2207,0,0.0000,0.0000,0.0861,0.1702,0.2062,0.3929,0.4112
5.0000,0.2204,0,0.0000,0.0000,0.0861,0.1702,0.2062,0.3419,0.3449
7.9245,0.2199,0,0.0000,0.0000,0.0861,0.1702,0.2060,0.2977,0.3007
12.5594,0.2185,0,0.0000,0.0000,0.0861,0.1700,0.2055,0.2592,0.2626
19.9054,0.2152,0,0.0000,0.0000,0.0861,0.1698,0.2042,0.2257,0.2287
31.5479,0.2078,0,0.0000,0.0000,0.0861,0.1691,0.2012,0.1965,0.1991
50.0000,0.1928,0,0.0000,0.0000,0.0861,0.1673,0.1939,0.1712,0.1734
79.2447,0.1691,0,0.0000,0.0000,0.0861,0.1631,0.1774,0.1491,0.1510
125.5943,0.1417,0,0.0000,0.0000,0.0860,0.1531,0.1465,0.1299,0.1316
199.0536,0.1186,0,0.0000,0.0000,0.0859,0.1326,0.1122,0.1131,0.1146
315.4787,0.1021,0,0.0000,0.0000,0.0856,0.1022,0.1003,0.0986,0.0998
500.0000,0.0892,0,0.0000,0.0000,0.0848,0.0853,0.0873,0.0859,0.0869
792.4466,0.0778,0,0.0000,0.0000,0.0830,0.0769,0.0756,0.0749,0.0757
1255.9432,0.0677,0,0.0000,0.0000,0.0785,0.0662,0.0654,0.0653,0.0660
1990.5359,0.0590,0,0.0000,0.0000,0.0685,0.0576,0.0567,0.0571,0.0576
3154.7867,0.0513,0,0.0000,0.0000,0.0510,0.0501,0.0492,0.0500,0.0502
5000.0000,0.0446,0,0.0000,0.0000,0.0423,0.0438,0.0430,0.0439,0.0439
7924.4660,0.0387,0,0.0000,0.0000,0.0397,0.0386,0.0381,0.0388,0.0386
12559.4322,0.0334,0,0.0000,0.0000,0.0354,0.0343,0.0344,0.0345,0.0343
19905.3585,0.0283,0,0.0000,0.0000,0.0292,0.0308,0.0313,0.0308,0.0308
31547.8672,0.0226,0,0.0000,0.0000,0.0276,0.0274,0.0277,0.0274,0.0275
50000.0000,0.0002,0,0.0000,0.0000,0.0019,0.0019,0.0018,0.0019,0.0019
