freq,CFEAmp,fullAmp,expAmp,recAmp,shiftAvgAmp1,shiftAvgAmp9,shiftAvgAmp5,shiftAvgAmp3,shiftAvgAmp8
0.0500,4.5289,0,0.0000,0.0000,10.0159,5.0448,4.1623,0.6370,1.2962
0.0792,4.5289,0,0.0000,0.0000,10.0159,5.0448,4.1623,0.8013,1.2982
0.1256,4.5289,0,0.0000,0.0000,10.0159,5.0448,4.1623,0.9590,1.3029
0.1991,4.5290,0,0.0000,0.0000,10.0159,5.0448,4.1623,1.1141,1.3145
0.3155,4.5290,0,0.0000,0.0000,10.0159,5.0448,4.1623,1.2953,1.3432
0.5000,4.5290,0,0.0000,0.0000,10.0159,5.0448,4.1624,1.4977,1.4099
0.7924,4.5291,0,0.0000,0.0000,10.0159,5.0449,4.1626,1.7272,1.5527
1.2559,4.5294,0,0.0000,0.0000,10.0159,5.0450,4.1630,1.9892,1.8113
1.9905,4.5301,0,0.0000,0.0000,10.0159,5.0454,4.1642,2.2881,2.1760
3.1548,4.5320,0,0.0000,0.0000,10.0159,5.0463,4.1671,2.6298,2.5702
5.0000,4.5365,0,0.0000,0.0000,10.0160,5.0487,4.1743,3.0214,2.9594
7.9245,4.5480,0,0.0000,0.0000,10.0161,5.0547,4.1925,3.4701,3.3915
12.5594,4.5764,0,0.0000,0.0000,10.0163,5.0697,4.2377,3.9844,3.8935
19.9054,4.6464,0,0.0000,0.0000,10.0169,5.1070,4.3478,4.5741,4.4708
31.5479,4.8134,0,0.0000,0.0000,10.0185,5.1989,4.6063,5.2499,5.1329
50.0000,5.1859,0,0.0000,0.0000,10.0225,5.4191,5.1638,6.0243,5.8925
79.2447,5.9131,0,0.0000,0.0000,10.0326,5.9145,6.1899,6.9111,6.7636
125.5943,7.0562,0,0.0000,0.0000,10.0578,6.8992,7.6334,7.9256,7.7625
199.0536,8.4304,0,0.0000,0.0000,10.1207,8.4714,8.9967,9.0848,8.9071
315.4787,9.7980,0,0.0000,0.0000,10.2761,10.2253,10.2329,10.4069,10.2179
500.0000,11.2129,0,0.0000,0.0000,10.6519,11.6271,11.8617,11.9110,11.7173
792.4466,12.8550,0,0.0000,0.0000,11.5147,13.3563,13.7043,13.6164,13.4295
1255.9432,14.7643,0,0.0000,0.0000,13.2989,15.3724,15.8043,15.5410,15.3791
1990.5359,16.9556,0,0.0000,0.0000,16.3472,17.6354,18.1508,17.6997,17.5888
3154.7867,19.4792,0,0.0000,0.0000,20.0093,20.1479,20.6958,20.1017,20.0726
5000.0000,22.3987,0,0.0000,0.0000,22.2850,22.8814,23.3307,22.7506,22.8232
7924.4660,25.8152,0,0.0000,0.0000,25.7379,25.7917,25.9144,25.6484,25.7804
12559.4322,29.9339,0,0.0000,0.0000,29.2159,28.8803,28.5439,28.8189,28.8905
19905.3585,35.3079,0,0.0000,0.0000,33.2186,32.3889,31.8935,32.4127,32.3915
31547.8672,44.2070,0,0.0000,0.0000,36.8208,36.6244,36.5255,36.6449,36.6226
50000.0000,24.7801,0,0.0000,0.0000,2.8884,2.9287,2.9530,2.9273,2.9288
