inputFreq,CFEAmp,CFEPhase,fullAmp,fullPhase,expAmp,expPhase,recAmp,recPhase,shiftAvgAmp1,shiftAvgPhase1,shiftAvgAmp9,shiftAvgPhase9,shiftAvgAmp5,shiftAvgPhase5,shiftAvgAmp3,shiftAvgPhase3,shiftAvgAmp8,shiftAvgPhase8
0.0500,0.0872,-0.0456,0,0,0.0000,0.0000,0.0000,0.0000,0.0159,-0.0011,0.0493,-0.0122,0.0679,-0.0233,2.1457,-20.7839,0.4747,-1.3027
0.0792,0.0872,-0.0722,0,0,0.0000,0.0000,0.0000,0.0000,0.0159,-0.0018,0.0493,-0.0193,0.0679,-0.0369,1.7140,-35.0102,0.4744,-2.0612
0.1256,0.0872,-0.1145,0,0,0.0000,0.0000,0.0000,0.0000,0.0159,-0.0029,0.0493,-0.0306,0.0679,-0.0585,1.1756,-41.0407,0.4739,-3.2685
0.1991,0.0872,-0.1814,0,0,0.0000,0.0000,0.0000,0.0000,0.0159,-0.0045,0.0493,-0.0485,0.0679,-0.0927,0.8833,-41.0623,0.4725,-5.1709
0.3155,0.0872,-0.2875,0,0,0.0000,0.0000,0.0000,0.0000,0.0159,-0.0072,0.0493,-0.0769,0.0679,-0.1470,0.6910,-42.5988,0.4690,-8.1630
0.5000,0.0872,-0.4557,0,0,0.0000,0.0000,0.0000,0.0000,0.0159,-0.0114,0.0493,-0.1219,0.0679,-0.2329,0.5460,-43.4428,0.4604,-12.7844
0.7924,0.0872,-0.7222,0,0,0.0000,0.0000,0.0000,0.0000,0.0159,-0.0181,0.0493,-0.1933,0.0679,-0.3691,0.4313,-43.8867,0.4404,-19.7039
1.2559,0.0872,-1.1445,0,0,0.0000,0.0000,0.0000,0.0000,0.0159,-0.0286,0.0493,-0.3063,0.0679,-0.5850,0.3415,-44.3032,0.3983,-29.2282
1.9905,0.0871,-1.8132,0,0,0.0000,0.0000,0.0000,0.0000,0.0159,-0.0454,0.0493,-0.4854,0.0679,-0.9272,0.2706,-44.5835,0.3257,-39.9392
3.1548,0.0871,-2.8712,0,0,0.0000,0.0000,0.0000,0.0000,0.0159,-0.0719,0.0493,-0.7693,0.0678,-1.4694,0.2146,-44.6980,0.2380,-47.0779
